gene_id	symbol	PROseq
FBgn0031208	CG11023	0
FBgn0263584	asRNA:CR43609	5
FBgn0267987	lncRNA:CR46254	1
FBgn0067779	dbr	1673
FBgn0031213	galectin	1313
FBgn0031214	CG11374	1038
FBgn0031216	Zir	3655
FBgn0031217	CG11377	1229
FBgn0005278	Sam-S	2034
FBgn0266304	asRNA:CR44969	44
FBgn0001142	Gs1	743
FBgn0265074	lncRNA:CR44185	4
FBgn0031224	CG11454	187
FBgn0031229	CG3436	1506
FBgn0016977	spen	14694
FBgn0031231	mRpL10	316
FBgn0031233	Tbc1d15-17	1313
FBgn0265153	lncRNA:CR44222	28
FBgn0031235	CG13693	2
FBgn0265149	lncRNA:CR44218	50
FBgn0265150	lncRNA:CR44219	0
FBgn0031240	CG3345	12
FBgn0086856	CG11555	82
FBgn0003444	smo	1767
FBgn0267996	asRNA:CR46263	7
FBgn0031247	CG11562	55
FBgn0024352	Stip1	3360
FBgn0020622	Pi3K21B	795
FBgn0266907	asRNA:CR45367	22
FBgn0266906	asRNA:CR45366	4
FBgn0000061	al	5
FBgn0003278	RpI135	2154
FBgn0263933	ebi	2518
FBgn0002593	RpLP1	1156
FBgn0031254	CG13692	3
FBgn0031255	BBS8	11
FBgn0004583	ex	13388
FBgn0031256	shv	2377
FBgn0031257	CG4133	207
FBgn0027592	MED15	2940
FBgn0003963	ush	17063
FBgn0267991	lncRNA:CR46258	165
FBgn0031261	nAChRbeta3	104
FBgn0031263	Tspo	1671
FBgn0031265	CG2794	876
FBgn0031266	Sf3b1	2609
FBgn0031268	cold	556
FBgn0023489	Pph13	6
FBgn0031270	CG13689	62
FBgn0040107	lectin-21Ca	0
FBgn0031273	CG2839	0
FBgn0266323	lncRNA:CR44988	0
FBgn0011244	Hsp60B	0
FBgn0031275	GABA-B-R3	1
FBgn0041250	Gr21a	0
FBgn0031279	CG3544	0
FBgn0051658	Nnf1b	187
FBgn0086130	Dbp21E2	633
FBgn0031282	Pex12	145
FBgn0015621	Clp	683
FBgn0031285	CG3662	1791
FBgn0010583	dock	2412
FBgn0020545	kraken	1289
FBgn0031288	CG13949	1
FBgn0266884	lncRNA:CR45345	2
FBgn0031289	CG13950	2
FBgn0053526	PNUTS	26063
FBgn0002936	ninaA	101
FBgn0002563	Lsp1beta	8
FBgn0046113	GluRIIC	0
FBgn0028481	CG4341	5
FBgn0031296	CG4415	5
FBgn0015905	ast	2958
FBgn0031298	Atg4a	1371
FBgn0031301	CG14339	2
FBgn0031302	CG14340	0
FBgn0031304	CG4552	2274
FBgn0031306	CG4577	4
FBgn0031307	MFS3	750
FBgn0283525	l(2)10685	467
FBgn0031310	Vps29	522
FBgn0031312	Tango14	3156
FBgn0031314	IntS14	1241
FBgn0031315	CG14341	84
FBgn0031318	CG4887	4952
FBgn0031319	CG4896	3391
FBgn0031321	Tgt	482
FBgn0031322	CG5001	591
FBgn0031324	CG14342	0
FBgn0259229	CG42329	0
FBgn0031327	CG5397	0
FBgn0041097	robo3	2
FBgn0011294	a5	0
FBgn0031331	CG5440	0
FBgn0031337	CG14346	157
FBgn0266202	asRNA:CR44897	142
FBgn0051928	CG31928	5
FBgn0053128	CG33128	3
FBgn0051926	CG31926	2
FBgn0051661	CG31661	7
FBgn0264873	asRNA:CR44064	28
FBgn0026398	Or22a	1
FBgn0026397	Or22b	1
FBgn0261509	haf	25
FBgn0031351	CG14352	276
FBgn0086758	chinmo	5244
FBgn0011570	cpb	909
FBgn0266311	asRNA:CR44976	18
FBgn0031357	mRpL48	207
FBgn0260648	Rrp40	125
FBgn0031360	CG31937	338
FBgn0264494	CG17646	5733
FBgn0045497	Gr22e	1
FBgn0051665	wry	0
FBgn0031372	CG7295	0
FBgn0264884	lncRNA:CR44075	0
FBgn0031374	Wdr62	2251
FBgn0267972	Der-1	813
FBgn0031378	CG15362	135
FBgn0031379	CG7289	879
FBgn0262148	lncRNA:CR42874	36
FBgn0263441	asRNA:CR43464	2
FBgn0267276	asRNA:CR45712	0
FBgn0031384	CG4238	54
FBgn0003557	Su(dx)	2702
FBgn0028952	Kebab	417
FBgn0026396	Or22c	2
FBgn0031388	CG12674	0
FBgn0264864	lncRNA:CR44055	0
FBgn0004507	GlyP	1109
FBgn0027509	TBCD	2136
FBgn0031392	AIF	3915
FBgn0031393	CG15382	86
FBgn0265017	lncRNA:CR43751	110
FBgn0264874	asRNA:CR44065	2
FBgn0085203	CG34174	98
FBgn0031399	mio	860
FBgn0031401	papi	981
FBgn0267378	sau	3075
FBgn0264979	CG4267	105
FBgn0042187	CG17234	0
FBgn0031409	CG4271	0
FBgn0031412	CG16995	0
FBgn0031414	eys	15
FBgn0261647	Axud1	2131
FBgn0031419	CG15390	70
FBgn0031420	Atxn7	1346
FBgn0264672	Eogt	947
FBgn0031422	PIG-Wa	123
FBgn0031424	VGlut	1
FBgn0031428	CG9886	551
FBgn0000490	dpp	3
FBgn0011818	oaf	2113
FBgn0267738	asRNA:CR46069	0
FBgn0031435	Elba2	421
FBgn0031437	Arpc5	112
FBgn0031440	CG15395	1
FBgn0284413	lncRNA:TS4	0
FBgn0031442	Prosbeta4R1	0
FBgn0026395	Or23a	0
FBgn0031443	Prosbeta4R2	0
FBgn0031444	CG9879	0
FBgn0041248	Gr23a	0
FBgn0051690	CG31690	43
FBgn0031449	CG31689	815
FBgn0031450	Hrs	1601
FBgn0031452	Cwc25	520
FBgn0031453	Bacc	8165
FBgn0031456	Tnpo-SR	1594
FBgn0031458	aph-1	187
FBgn0028398	Taf10	24
FBgn0031461	daw	351
FBgn0031462	CG2964	27
FBgn0031467	Cpr23B	1
FBgn0031468	CG2975	2
FBgn0031472	CG2983	1
FBgn0031474	CG2991	2253
FBgn0031476	CG8813	50
FBgn0031478	CG8814	580
FBgn0028970	betaggt-II	150
FBgn0041111	lilli	887
FBgn0010263	Rbp9	57
FBgn0260639	gammaTub23C	423
FBgn0031484	CG3165	397
FBgn0025109	Bem46	437
FBgn0025681	CG3558	2656
FBgn0031488	CG17265	1179
FBgn0031490	CG17264	1374
FBgn0031492	CG3542	1415
FBgn0031494	CG17219	354
FBgn0031495	GABPI	697
FBgn0031498	CG17260	328
FBgn0031500	CG17221	160
FBgn0042627	FASN2	49488
FBgn0283427	FASN1	21267
FBgn0005779	PpD6	0
FBgn0031504	CG15403	0
FBgn0260817	gkt	369
FBgn0051953	CR31953	0
FBgn0014906	Hydr2	1392
FBgn0031513	CG3347	1
FBgn0265678	lncRNA:CR44485	0
FBgn0031520	CG8837	1
FBgn0053281	CG33281	0
FBgn0053282	CG33282	0
FBgn0031522	CG3285	0
FBgn0031523	CG15408	1
FBgn0031526	CG8838	0
FBgn0016698	Ptpa	401
FBgn0051952	CG31952	2
FBgn0031533	CG2772	1
FBgn0031534	Snx1	1337
FBgn0031535	CG12795	469
FBgn0266670	Sec5	855
FBgn0021967	ND-PDSW	416
FBgn0051776	CG31776	0
FBgn0051956	Pgant4	4
FBgn0264549	lncRNA:CR43928	22
FBgn0261560	Thor	7994
FBgn0031544	CG17593	882
FBgn0031546	CG8851	20
FBgn0031548	CG8852	3
FBgn0031550	IFT57	0
FBgn0024244	drm	38
FBgn0265368	lncRNA:CR44309	0
FBgn0265369	lncRNA:CR44310	0
FBgn0015663	Ugt36A1	311
FBgn0085369	Drgx	21
FBgn0031566	CG2818	879
FBgn0003386	Shaw	1
FBgn0031568	CG10019	8
FBgn0263846	CG43707	1
FBgn0004893	bowl	845
FBgn0031571	bark	27
FBgn0021800	Reph	50
FBgn0264886	lncRNA:CR44077	0
FBgn0003430	slp1	3
FBgn0004567	slp2	0
FBgn0031574	TTLL4B	253
FBgn0031575	Cep97	41
FBgn0264341	CG43797	0
FBgn0000547	ed	439
FBgn0020376	Sr-CIII	0
FBgn0014033	Sr-CI	6
FBgn0031585	CG2955	0
FBgn0264866	lncRNA:CR44057	0
FBgn0040102	lectin-24Db	0
FBgn0003941	RpL40	376
FBgn0265269	CG15425	0
FBgn0010473	tutl	132
FBgn0028482	bdl	4
FBgn0020762	Atet	277
FBgn0031596	CG15429	0
FBgn0026319	Traf4	5241
FBgn0027560	Tps1	3
FBgn0022153	l(2)k05819	2058
FBgn0053003	CG33003	8
FBgn0031601	Dim1	32
FBgn0085206	CG34177	0
FBgn0031604	Elp3	1239
FBgn0031608	CG15435	565
FBgn0031610	CG15436	331
FBgn0031611	FIG4	462
FBgn0265820	lncRNA:CR44609	0
FBgn0083938	BG642163	0
FBgn0031617	CG15635	0
FBgn0264342	CG43798	0
FBgn0031619	CG3355	0
FBgn0031620	CG11929	3438
FBgn0031621	Elba3	612
FBgn0085380	CG34351	514
FBgn0031628	CG3294	354
FBgn0031630	CG15629	2
FBgn0031632	CG15628	1
FBgn0031636	CG12194	2
FBgn0031638	CG11927	433
FBgn0031640	Mon1	585
FBgn0051660	smog	63
FBgn0031643	CG3008	1967
FBgn0031644	CG15625	170
FBgn0031645	CG3036	410
FBgn0003372	Sgs1	796
FBgn0031650	CG14044	56
FBgn0015000	betaggt-I	1457
FBgn0031655	Marcal1	404
FBgn0083960	CG34124	20
FBgn0083961	CG34125	37
FBgn0031657	CG3756	624
FBgn0031659	CG14043	751
FBgn0031660	mRpL28	496
FBgn0031662	CG3792	362
FBgn0083962	CG34126	2479
FBgn0031670	SelT	307
FBgn0000299	Col4a1	1188
FBgn0260470	SP555	8
FBgn0260451	CG14042	11
FBgn0031676	senju	431
FBgn0014857	His3.3A	239
FBgn0028572	qtc	1
FBgn0261608	RpL37A	459
FBgn0031682	CG5828	424
FBgn0031683	CG4230	445
FBgn0261836	Msp300	1586
FBgn0031688	Cyp28d2	167
FBgn0031689	Cyp28d1	39
FBgn0031692	TpnC25D	2
FBgn0046776	CR14033	4
FBgn0265957	lncRNA:CR44744	1
FBgn0031693	Cyp4ac1	0
FBgn0031694	Cyp4ac2	0
FBgn0031695	Cyp4ac3	1
FBgn0031696	Bub1	1551
FBgn0016076	vri	1538
FBgn0016920	nompC	2
FBgn0265958	lncRNA:CR44745	1
FBgn0016660	H15	0
FBgn0263866	lncRNA:CR43713	3
FBgn0263867	lncRNA:CR43714	0
FBgn0261963	mid	0
FBgn0031707	CG14020	0
FBgn0000318	cl	735
FBgn0031711	CG6907	745
FBgn0002525	Lam	2539
FBgn0031717	Oscillin	219
FBgn0031719	CG18269	0
FBgn0031721	CG14017	1
FBgn0004620	GluRIIA	0
FBgn0020429	GluRIIB	0
FBgn0031724	CG18266	0
FBgn0031728	Hsp60C	1
FBgn0266066	lncRNA:CR44819	0
FBgn0031730	CG7236	0
FBgn0266065	asRNA:CR44818	0
FBgn0054011	CG34011	0
FBgn0024191	sip1	439
FBgn0051912	asRNA:CR31912	14
FBgn0051913	CG31913	0
FBgn0031740	CG7239	829
FBgn0031741	CG11034	2
FBgn0085410	TrissinR	3
FBgn0043362	bchs	3345
FBgn0015381	dsf	5
FBgn0001128	Gpdh1	1102
FBgn0031752	CG9044	2204
FBgn0031757	Ucp4C	0
FBgn0031758	Ucp4B	0
FBgn0001942	eIF4A	7171
FBgn0001941	ifc	1806
FBgn0031760	Tsp26A	761
FBgn0264448	asRNA:CR43866	160
FBgn0031763	CG13996	0
FBgn0051643	CG31643	454
FBgn0031768	CG12393	648
FBgn0031769	CG9135	1732
FBgn0031770	CG13995	23
FBgn0031774	CG9147	185
FBgn0031776	Pfdn1	78
FBgn0266449	Kr-h2	697
FBgn0031778	lncRNA:CR9162	2
FBgn0266521	stai	277
FBgn0051642	CG31642	451
FBgn0284255	Arpc4	80
FBgn0031784	CG9222	2
FBgn0031785	CG13991	1
FBgn0040950	Muc26B	0
FBgn0031786	CG13989	0
FBgn0085409	smal	9
FBgn0026755	Ugt37B1	0
FBgn0265778	PDZ-GEF	2644
FBgn0015623	Cpr	629
FBgn0031803	ppk14	0
FBgn0266004	lncRNA:CR44778	0
FBgn0031805	Nepl4	6
FBgn0043854	slam	2
FBgn0031808	Nepl5	0
FBgn0031811	CG13982	74
FBgn0263278	Fic	1750
FBgn0031815	frj	650
FBgn0031820	Daxx	1153
FBgn0027496	epsilonCOP	907
FBgn0051638	CG31638	1255
FBgn0031826	CG9550	57
FBgn0051637	CG31637	10066
FBgn0031830	COX5B	774
FBgn0031831	COX5BL	58
FBgn0263916	Ent2	500
FBgn0031836	CG11050	26279
FBgn0085374	CG34345	5
FBgn0031842	Tango1	2589
FBgn0028467	CG11070	1523
FBgn0031851	Aatf	853
FBgn0046704	Liprin-alpha	1727
FBgn0031853	TTLL3B	98
FBgn0031855	meng	5
FBgn0031858	CG17378	0
FBgn0031860	CG11236	0
FBgn0051632	sens-2	2
FBgn0017551	Rca1	725
FBgn0086451	l(2)k09022	2750
FBgn0266219	lncRNA:CR44914	0
FBgn0031866	Nlg2	2
FBgn0031868	Rat1	1596
FBgn0004838	Hrb27C	5088
FBgn0020616	SA	1302
FBgn0031875	CG3430	438
FBgn0031877	Hmgcl	79
FBgn0021944	Coprox	848
