time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	7	1	10.68	1252.64	13384.21	1224.53	13083.83	300.38	302.4900365	0.025500019	28.11	28.3074603
0	14	2	10.68	2451.34	26192.04	1356.56	14494.61	11697.43	11862.34574	1	1094.78	1110.214711
15	21	3	10.68	2162.44	23105.21	1371.74	14656.73	8448.48	8627.774079	0.727324449	790.7	807.4802762
30	28	4	10.68	2168.38	23168.68	1349.53	14419.47	8749.21	8997.649806	0.758505106	818.85	842.1018062
45	35	5	10.68	2083.93	22266.37	1308.15	13977.34	8289.03	8584.282835	0.723658122	775.78	803.4130577
60	42	6	10.68	1972.47	21075.45	1337.72	14293.23	6782.22	7073.139792	0.596268221	634.75	661.9772704
75	49	7	10.68	1962.09	20964.55	1354.12	14468.54	6496.01	6822.241901	0.575117439	607.97	638.5024666
90	56	8	10.68	1903.52	20338.76	1273.8	13610.27	6728.49	7116.035439	0.59988434	629.72	665.9904134
105	63	9	10.68	1893.12	20227.6	1288.16	13763.69	6463.91	6884.237636	0.580343702	604.96	644.2986367
120	70	10	10.68	1982.02	21177.43	1327.29	14181.78	6995.65	7502.891858	0.632496475	654.73	702.2032815
135	77	11	10.68	1858.74	19860.27	1284.55	13725.17	6135.1	6626.166143	0.558588182	574.19	620.1493598
150	84	12	10.68	1885.12	20142.12	1285.2	13732.07	6410.05	6971.755591	0.587721497	599.92	652.490326
165	91	13	10.68	1868.02	19959.41	1301.98	13911.34	6048.07	6624.263613	0.558427798	566.04	619.9660677
180	98	14	10.68	1801.25	19246.02	1273.23	13604.15	5641.87	6222.772648	0.524581966	528.02	582.3864098
195	105	15	10.68	1768.57	18896.83	1315.53	14056.14	4840.69	5376.605744	0.453249793	453.04	503.1963349
210	112	16	10.68	1783.04	19051.41	1332.45	14236.97	4814.44	5385.013057	0.453958532	450.59	503.9907099
225	119	17	10.68	1709.15	18261.9	1348.45	14407.92	3853.98	4341.007138	0.365948459	360.7	406.2816295
240	126	18	10.68	1734.24	18529.97	1262.63	13490.93	5039.04	5715.693217	0.481834988	471.61	534.9388134
255	133	19	10.68	1692.73	18086.42	1343.24	14352.26	3734.16	4265.344254	0.35957005	349.49	399.2049519
270	140	20	10.68	1700.72	18171.81	1356.67	14495.73	3676.08	4228.498507	0.356463941	344.05	395.7517005
285	147	21	10.68	1736.14	18550.31	1270.98	13580.15	4970.16	5757.204533	0.485334407	465.16	538.8199294
300	154	22	10.68	1684.04	17993.66	1328.4	14193.71	3799.95	4432.607045	0.373670364	355.64	414.850819
315	161	23	10.68	1711.93	18291.59	1343.83	14358.51	3933.08	4620.129957	0.389478612	368.1	432.401537
330	168	24	10.68	1785.46	19077.26	1273.48	13606.91	5470.35	6471.077288	0.545514136	511.98	605.6398859
345	175	25	10.68	1699.79	18161.9	1352.21	14448.03	3713.87	4424.133586	0.372956048	347.58	414.05336
360	182	26	10.68	1666.46	17805.82	1287.34	13754.99	4050.83	4859.433165	0.409651959	379.12	454.7977332
375	189	27	10.68	1637.71	17498.54	1301.59	13907.2	3591.34	4338.485794	0.365735908	336.12	406.0467249
390	196	28	10.68	1622.07	17331.46	1352.38	14449.84	2881.62	3505.568261	0.295520662	269.69	328.0851411
405	203	29	10.68	1604.84	17147.37	1306.05	13954.9	3192.47	3911.007103	0.329699301	298.79	366.0394028
420	210	30	10.68	1692.25	18081.38	1300.94	13900.22	4181.16	5158.205357	0.434838562	391.31	482.7505616
435	217	31	10.68	1573.15	16808.73	1281.51	13692.65	3116.08	3871.24361	0.326347225	291.64	362.3172339
450	224	32	10.68	1609.86	17201.05	1298.04	13869.33	3331.72	4168.218337	0.351382301	311.82	390.1089653
