time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	7	1	4.57	1070.19	5025.77	1027.88	4694.2	331.57	333.8991325	0.076105761	42.31	42.60720902
0	14	2	4.57	2024.61	9507.87	1134.59	5181.56	4326.31	4387.304304	1	890.02	902.5679104
15	21	3	4.57	2112.1	9645.74	1191.21	5440.11	4205.63	4294.882097	0.97893417	920.89	940.4331751
30	28	4	4.57	2019.96	9224.94	1061.25	4846.63	4378.31	4502.635109	1.026287396	958.71	985.9332266
45	35	5	4.57	2048.07	9353.29	1136.92	5192.16	4161.13	4309.348239	0.982231443	911.15	943.6048977
60	42	6	4.57	1963.64	8967.73	1098.43	5016.42	3951.31	4120.799383	0.939255428	865.21	902.322732
75	49	7	4.57	1949.27	8902.11	1174.69	5364.67	3537.44	3715.091478	0.846782265	774.58	813.4796793
90	56	8	4.57	1952.25	8915.73	1058.08	4832.15	4083.58	4318.784749	0.984382311	894.17	945.6721209
105	63	9	4.57	1906.75	8707.93	1166.88	5329	3378.93	3598.651138	0.820241973	739.87	787.9814075
120	70	10	4.57	1927.36	8802.03	1144.39	5226.28	3575.75	3835.021129	0.874117878	782.97	839.7417307
135	77	11	4.57	1853.02	8462.53	1068.3	4878.81	3583.72	3870.56839	0.882220179	784.72	847.5306182
150	84	12	4.57	1725.41	7879.73	1086.78	4963.21	2916.52	3172.091421	0.723016049	638.63	694.5924405
165	91	13	4.57	1931.55	8821.16	1134.5	5181.13	3640.03	3986.812037	0.90871564	797.05	872.9841606
180	98	14	4.57	1797.24	8207.77	1106.66	5053.99	3153.78	3478.501972	0.792856326	690.58	761.6840401
195	105	15	4.57	1943.81	8877.17	1105.5	5048.69	3828.48	4252.333358	0.969236019	838.31	931.1198118
210	112	16	4.57	1779.06	8124.75	1136.3	5189.36	2935.39	3283.271466	0.74835736	642.76	718.9353263
225	119	17	4.57	1686.41	7701.62	1127.74	5150.24	2551.38	2873.797682	0.655025839	558.67	629.2690823
240	126	18	4.57	1818.65	8305.57	1106.07	5051.28	3254.29	3691.283117	0.841355617	712.58	808.2667875
255	133	19	4.57	1827.58	8346.33	1161.08	5302.5	3043.83	3476.814812	0.792471771	666.5	761.3096239
270	140	20	4.57	1765.32	8062.02	1089.68	4976.44	3085.58	3549.261828	0.808984648	675.64	777.1709895
285	147	21	4.57	1673.6	7643.16	1162.42	5308.62	2334.54	2704.223661	0.616374765	511.18	592.1273788
300	154	22	4.57	1839.15	8399.19	1126.94	5146.62	3252.57	3794.093264	0.864789174	712.21	830.7864745
315	161	23	4.57	1889.87	8630.81	1093.5	4993.89	3636.92	4272.235257	0.973772267	796.37	935.4838686
330	168	24	4.57	1752.01	8001.23	1146.08	5234	2767.23	3273.457677	0.746120499	605.93	716.7767805
345	175	25	4.57	1716.99	7841.3	1173.48	5359.16	2482.14	2956.839884	0.673953681	543.51	647.4542312
360	182	26	4.57	1713.13	7823.68	1159.49	5295.26	2528.42	3033.12852	0.69134218	553.64	664.1544023
375	189	27	4.57	1694.47	7738.46	1162.73	5310.04	2428.42	2933.63081	0.668663627	531.74	642.3636961
390	196	28	4.57	1728.31	7893	1108.34	5061.66	2831.34	3444.401288	0.785083744	619.97	754.2101855
405	203	29	4.57	1750.2	7992.96	1069.1	4882.48	3110.48	3810.563411	0.868543221	681.1	834.3968581
420	210	30	4.57	1817.77	8301.57	1171.63	5350.71	2950.86	3640.41124	0.829760369	646.14	797.1287417
435	217	31	4.57	1834.73	8378.99	1158.97	5292.89	3086.1	3833.998134	0.873884706	675.76	839.5264505
450	224	32	4.57	1646.31	7518.52	1126.81	5146.02	2372.5	2968.165994	0.676535245	519.5	649.9313946
