time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	7	1	5.17	2254.86	11657.75	2225.48	11505.88	151.87	152.9368195	0.020893917	29.38	29.58638149
0	14	2	5.17	3789.62	19592.55	2393.52	12374.63	7217.92	7319.681549	1	1396.1	1415.782859
15	21	3	5.17	3475.37	17967.85	2247.95	11622.04	6345.81	6480.481108	0.885350143	1227.42	1253.468371
30	28	4	5.17	3535.03	18276.29	2375.83	12283.2	5993.09	6163.267892	0.842013119	1159.2	1192.116277
45	35	5	5.17	3273.33	16923.33	2209.14	11421.4	5501.93	5697.907144	0.778436481	1064.19	1102.096138
60	42	6	5.17	3196.66	16526.92	2271.39	11743.23	4783.69	4988.883889	0.681571166	925.27	964.9589744
75	49	7	5.17	3077.27	15909.65	2242.86	11595.71	4313.94	4530.58758	0.618959657	834.41	876.3143629
90	56	8	5.17	3116.2	16110.94	2114.28	10930.93	5180.01	5478.366578	0.748443295	1001.92	1059.628271
105	63	9	5.17	3168.68	16382.28	2170.43	11221.27	5161.01	5496.614168	0.750936244	998.25	1063.163042
120	70	10	5.17	3162.45	16350.06	2126.88	10996.07	5353.99	5742.198077	0.784487418	1035.57	1110.657297
135	77	11	5.17	3127.39	16168.8	2176.88	11254.62	4914.18	5307.521171	0.725102743	950.51	1026.590794
150	84	12	5.17	2967.57	15342.5	2125.18	10987.33	4355.17	4736.808729	0.647133171	842.39	916.2077039
165	91	13	5.17	2955.32	15279.21	2240.2	11581.97	3697.24	4049.472377	0.553230677	715.12	783.248771
180	98	14	5.17	3018.47	15605.65	2088.99	10800.21	4805.44	5300.221486	0.724105475	929.48	1025.18185
195	105	15	5.17	3137.81	16222.66	2051.11	10604.35	5618.31	6240.316529	0.852539347	1086.7	1207.00922
210	112	16	5.17	3182.18	16452.08	1998.52	10332.45	6119.63	6844.884857	0.935134242	1183.66	1323.938933
225	119	17	5.17	3090.44	15977.77	2078.2	10744.42	5233.35	5894.688012	0.805320282	1012.24	1140.156686
240	126	18	5.17	3042.97	15732.32	2178.53	11263.15	4469.17	5069.299838	0.692557429	864.44	980.5188776
255	133	19	5.17	3079.47	15921.03	2122.51	10973.5	4947.53	5651.316134	0.772071312	956.96	1093.087558
270	140	20	5.17	3000.77	15514.14	2111.93	10918.78	4595.36	5285.922204	0.722151936	888.84	1022.409363
285	147	21	5.17	3050.65	15772.04	2019.05	10438.61	5333.43	6177.999777	0.844025759	1031.6	1194.957948
300	154	22	5.17	2904.93	15018.64	2024.39	10466.23	4552.41	5310.344778	0.725488499	880.54	1027.141885
315	161	23	5.17	2914.48	15068.05	1979.65	10234.91	4833.14	5677.41691	0.775637147	934.83	1098.130749
330	168	24	5.17	2837.63	14670.74	2035.53	10523.79	4146.95	4905.578978	0.670190219	802.1	948.8334554
345	175	25	5.17	3009.75	15560.59	1895.78	9801.31	5759.28	6860.72051	0.937297677	1113.97	1327.012548
360	182	26	5.17	2797.63	14463.93	1964.74	10157.83	4306.1	5165.65868	0.705721778	832.89	999.1466659
375	189	27	5.17	2928.78	15141.99	2091.47	10813.05	4328.94	5229.536801	0.714448677	837.31	1011.50477
390	196	28	5.17	2890.12	14942.12	1924.85	9951.59	4990.53	6071.114017	0.829423244	965.27	1174.276926
405	203	29	5.17	2810.17	14528.73	1946.43	10063.18	4465.55	5470.622361	0.747385296	863.74	1058.144094
420	210	30	5.17	2937.34	15186.23	1936.72	10012.98	5173.25	6382.125024	0.871912935	1000.62	1234.44294
435	217	31	5.17	2770.82	14325.29	1994.44	10311.38	4013.91	4986.657415	0.68126699	776.38	964.531114
450	224	32	5.17	2787.37	14410.85	1944.7	10054.22	4356.63	5450.453535	0.744629872	842.67	1054.240016
