time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	7	1	6.03	2297.28	14054.55	2131.35	12855.74	1198.81	1207.231109	0.059474089	165.93	167.0955848
0	14	2	6.03	5549.76	33952.91	2310.56	13936.67	20016.24	20298.43814	1	3239.2	3284.867728
15	21	3	6.03	4918.22	30089.19	2228.3	13440.52	16648.67	17001.98893	0.837600845	2689.92	2747.005621
30	28	4	6.03	4727.75	28923.94	2265.5	13664.9	15259.04	15692.33088	0.773080706	2462.25	2532.167274
45	35	5	6.03	4593.9	28105.05	2107.18	12709.95	15395.1	15943.46898	0.785452993	2486.72	2575.296242
60	42	6	6.03	4444.74	26809.48	2109.01	12720.98	14088.5	14692.81886	0.723839872	2335.73	2435.919921
75	49	7	6.03	4521.01	27269.57	2163.39	13048.97	14220.6	14934.76352	0.735759245	2357.62	2476.020503
90	56	8	6.03	4484.33	27048.29	2192.81	13226.48	13821.81	14617.91424	0.720149705	2291.52	2423.506244
105	63	9	6.03	4319.4	26053.48	2137.24	12891.24	13162.24	14018.13886	0.690601847	2182.16	2324.058967
120	70	10	6.03	4227.63	25499.94	2131.4	12856.04	12643.9	13560.68619	0.668065498	2096.23	2248.223825
135	77	11	6.03	4268.29	25745.22	2144.51	12935.15	12810.07	13835.4146	0.681599959	2123.78	2293.771761
150	84	12	6.03	4184.41	25239.24	2068.32	12475.57	12763.67	13882.13628	0.683901697	2116.09	2301.520626
165	91	13	6.03	4159	25085.99	2118.31	12777.07	12308.92	13481.57856	0.664168271	2040.69	2235.104506
180	98	14	6.03	3809.63	22978.68	2123.45	12808.09	10170.59	11217.78227	0.552642632	1686.18	1859.793789
195	105	15	6.03	3866.29	23320.46	2060.34	12427.45	10893.01	12098.98179	0.596054815	1805.95	2005.887827
210	112	16	6.03	4017.44	24232.16	1977.51	11927.85	12304.31	13762.52898	0.678009258	2039.93	2281.68794
225	119	17	6.03	3935.24	23736.35	2043.92	12328.4	11407.95	12849.57171	0.633032533	1891.32	2130.325954
240	126	18	6.03	3948.52	23816.44	2094.18	12631.53	11184.91	12686.84397	0.625015771	1854.34	2103.344796
255	133	19	6.03	3857.96	23270.23	2128.86	12840.71	10429.52	11913.1192	0.586898318	1729.1	1975.064472
270	140	20	6.03	3796.22	22897.81	2108.48	12717.79	10180.02	11709.81028	0.576882329	1687.74	1941.363101
285	147	21	6.03	3721.12	22444.83	2172.17	13101.97	9342.86	10822.33891	0.533161164	1548.95	1794.232371
300	154	22	6.03	3794.73	22888.8	2025.85	12219.39	10669.41	12445.76953	0.61313927	1768.88	2063.3824
315	161	23	6.03	3717.49	22422.9	2114.14	12751.95	9670.95	11360.3196	0.559664715	1603.35	1883.431145
330	168	24	6.03	3812.07	22993.41	2057.57	12410.73	10582.68	12518.63961	0.616729205	1754.5	2075.462283
345	175	25	6.03	3787.18	22843.26	2151.74	12978.75	9864.51	11751.06022	0.578914503	1635.44	1948.211712
360	182	26	6.03	3579.89	21592.97	2114.04	12751.31	8841.66	10606.58083	0.52253187	1465.85	1758.454466
375	189	27	6.03	3745.31	22590.75	1957.6	11807.73	10783.02	13026.32975	0.641740496	1787.71	2159.626891
390	196	28	6.03	3599.19	21709.38	2011.29	12131.55	9577.83	11651.68789	0.574018937	1587.9	1931.723073
405	203	29	6.03	3601.55	21723.6	2127.1	12830.11	8893.49	10895.16975	0.536749166	1474.45	1806.308101
420	210	30	6.03	3607.68	21760.57	2073.52	12506.94	9253.63	11416.00031	0.562407818	1534.16	1892.659532
435	217	31	6.03	3659.86	22075.3	2031.04	12250.67	9824.63	12205.57114	0.601305926	1628.82	2023.55492
450	224	32	6.03	3611.78	21785.3	2018.61	12175.75	9609.55	12022.22951	0.592273624	1593.17	1993.168816
