time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	9	1	12.88	1713.98	22744.26	1684.92	21705.25	1039.01	1048.403296	0.027817078	29.06	29.32
0	18	2	12.88	4714.23	62557	1982.61	25540.14	37016.86	37689.19635	1	2731.62	2781.23
15	27	3	12.88	4236.04	54568.99	1934.56	24921.11	29647.88	30459.27733	0.808169987	2301.48	2364.47
30	36	4	12.88	4083.49	52603.77	1951.08	25133.99	27469.78	28476.70804	0.755566868	2132.41	2210.58
45	45	5	12.88	3886.26	50063.11	1916.64	24690.23	25372.88	26540.73937	0.704200194	1969.62	2060.28
60	54	6	12.88	3584.84	46180.14	1910.98	24617.33	21562.81	22759.21393	0.603865726	1673.86	1766.73
75	63	7	12.88	3540.82	45613.07	1882.63	24252.11	21360.96	22749.99571	0.603621141	1658.19	1766.02
90	72	8	12.88	3408.65	43910.4	1880.41	24223.58	19686.82	21156.54632	0.561342463	1528.24	1642.33
105	81	9	12.88	3335.09	42962.9	1837.38	23669.22	19293.68	20921.50508	0.55510616	1497.71	1624.07
120	90	10	12.88	3091.54	39825.4	1923.18	24774.54	15050.86	16468.26396	0.436949194	1168.36	1278.39
135	99	11	12.88	3108.51	40043.97	1783.65	22977.08	17066.89	18842.97809	0.499957014	1324.86	1462.73
150	108	12	12.88	3135.7	40394.24	1888.49	24327.68	16066.56	17898.91494	0.474908374	1247.21	1389.45
165	117	13	12.88	2925.23	37683.06	1787.98	23032.83	14650.23	16468.60819	0.436958327	1137.25	1278.40
180	126	14	12.88	2916.78	37574.19	1833.65	23621.23	13952.96	15826.59372	0.419923884	1083.13	1228.58
195	135	15	12.88	2963.15	38171.46	1884.52	24276.49	13894.97	15903.30428	0.42195923	1078.63	1234.53
210	144	16	12.88	2805.18	36136.48	1814.67	23376.73	12759.75	14736.0325	0.390988239	990.51	1143.92
225	153	17	12.88	2880.16	37102.46	1898.05	24450.81	12651.65	14743.28377	0.391180635	982.11	1144.48
240	162	18	12.88	2872.57	37004.62	1886.89	24306.99	12697.63	14930.63828	0.396151675	985.68	1159.02
255	171	19	12.88	2654.2	34191.63	1859.98	23960.43	10231.2	12139.22415	0.322087636	794.22	942.33
270	180	20	12.88	2682.51	34556.29	1922.59	24766.96	9789.33	11719.95585	0.310963273	759.92	909.79
285	189	21	12.88	2676.24	34475.51	1948.64	25102.49	9373.02	11322.99201	0.30043071	727.6	878.97
300	198	22	12.88	2580.36	33240.34	2012.35	25923.24	7317.1	8919.269732	0.236653221	568.01	692.38
315	207	23	12.88	2638.44	33988.62	1892.99	24385.62	9603	11811.52264	0.313392796	745.45	916.89
330	216	24	12.88	2627.61	33849.03	1841.2	23718.47	10130.56	12573.06212	0.333598573	786.41	976.02
345	225	25	12.88	2561.24	32994.12	1882.77	24253.96	8740.16	10945.50091	0.290414813	678.47	849.66
360	234	26	12.88	2602.28	33522.76	1877.38	24184.51	9338.25	11800.22818	0.313093123	724.9	916.02
375	243	27	12.88	2659.19	34255.83	1914.01	24656.4	9599.43	12239.932	0.324759697	745.18	950.16
390	252	28	12.88	2661.82	34289.73	1955.34	25188.88	9100.85	11709.11755	0.310675702	706.48	908.95
405	261	29	12.88	2652.66	34171.69	1913.96	24655.76	9515.93	12353.84359	0.327782091	738.7	959.00
420	270	30	12.88	2549.45	32842.16	1887.78	24318.5	8523.66	11165.69159	0.296257089	661.67	866.76
435	279	31	12.88	2560.85	32989.03	1873.38	24132.98	8856.05	11705.99193	0.310592771	687.47	908.70
450	288	32	12.88	2557.33	32943.75	1950.93	25132.01	7811.74	10418.96528	0.276444347	606.4	808.79
