time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	8	1	9.78	1276.71	12486.26	1310.12	12813.05	-326.79	-329.4148052	-0.021932965	-33.41	-33.67835198
0	16	2	9.78	2998.84	29328.76	1487.52	14547.99	14780.77	15019.16439	1	1511.32	1535.695605
15	24	3	9.78	2704.96	26454.55	1419.08	13878.68	12575.87	12881.34188	0.857660356	1285.88	1317.114434
30	32	4	9.78	2524.85	24693.16	1407.48	13765.2	10927.96	11283.31	0.751260836	1117.37	1153.704085
45	40	5	9.78	2527.54	24719.39	1403.7	13728.19	10991.2	11439.75938	0.761677486	1123.84	1169.70478
60	48	6	9.78	2403.56	23506.84	1473.9	14414.77	9092.07	9539.13304	0.635130743	929.66	975.3719914
75	56	7	9.78	2317.67	22666.92	1420.68	13894.28	8772.64	9277.923744	0.61773901	896.99	948.6545463
90	64	8	9.78	2244.91	21955.26	1374.34	13441.12	8514.14	9076.859936	0.60435186	870.57	928.1080596
105	72	9	9.78	2269.64	22197.18	1383.2	13527.76	8669.42	9316.638533	0.620316703	886.44	952.6174832
120	80	10	9.78	2283.29	22330.61	1319.11	12900.89	9429.72	10215.09373	0.680137287	964.18	1044.483725
135	88	11	9.78	2199.73	21513.44	1414.54	13834.22	7679.22	8385.617026	0.558327801	785.19	857.4181535
150	96	12	9.78	2213.3	21646.09	1425.95	13945.81	7700.28	8476.153005	0.564355831	787.35	866.682649
165	104	13	9.78	2138.17	20911.34	1416.34	13851.88	7059.46	7833.180027	0.521545662	721.83	800.9428964
180	112	14	9.78	2158.89	21113.97	1340.02	13105.46	8008.51	8957.62143	0.59641277	818.87	915.9166262
195	120	15	9.78	2065.36	20199.3	1377.15	13468.52	6730.78	7588.933259	0.505283321	688.21	775.9546082
210	128	16	9.78	2080.74	20349.66	1356.1	13262.67	7086.99	8054.739765	0.536297463	724.64	823.5917679
225	136	17	9.78	2070.72	20251.69	1338.52	13090.72	7160.97	8204.19367	0.546248344	732.2	838.8682825
240	144	18	9.78	2138.11	20910.74	1350.27	13205.67	7705.07	8898.462898	0.5924739	787.84	909.8638961
255	152	19	9.78	2073.52	20279.04	1387.34	13568.22	6710.82	7812.469798	0.520166741	686.18	798.823471
270	160	20	9.78	2042.36	19974.31	1349.21	13195.33	6778.98	7955.206724	0.529670394	693.15	813.4190602
285	168	21	9.78	2063.23	20178.44	1417.06	13858.86	6319.58	7475.662546	0.497741576	646.17	764.3781497
300	176	22	9.78	2013.89	19695.95	1449.26	14173.85	5522.1	6584.762204	0.438424005	564.63	673.2863011
315	184	23	9.78	2099.96	20537.63	1394.36	13636.85	6900.78	8294.846752	0.552284171	705.6	848.1423648
330	192	24	9.78	2012.85	19685.69	1412.43	13813.63	5872.06	7115.001976	0.473728218	600.42	727.5112118
345	200	25	9.78	1979.66	19361.1	1414.85	13837.24	5523.86	6746.85784	0.449216592	564.81	689.8604918
360	208	26	9.78	1977.83	19343.22	1419.96	13887.21	5456.01	6717.511365	0.447262657	557.87	686.8568909
375	216	27	9.78	1996.94	19530.16	1394.92	13642.32	5887.84	7307.412231	0.4865392	602.02	747.1684542
390	224	28	9.78	2007.82	19636.53	1430.46	13989.92	5646.61	7064.310129	0.470353073	577.36	722.3183638
405	232	29	9.78	1884.97	18435.06	1420.48	13892.34	4542.72	5728.913815	0.38144025	464.49	585.7775028
420	240	30	9.78	1986.04	19423.53	1379.35	13490.07	5933.46	7542.905983	0.502218751	606.69	771.254147
435	248	31	9.78	1943.75	19009.97	1412.55	13814.79	5195.18	6657.415011	0.443261345	531.2	680.711516
450	256	32	9.78	1962.67	19194.97	1425.4	13940.46	5254.51	6787.527626	0.451924451	537.27	694.0199881
