time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	11	1	5.77	1218.11	7032.45	1271.6	7341.27	-308.82	-312.2357723	-0.101126542	-53.49	-54.08163804
0	22	2	5.77	1885.19	10883.62	1362.01	7863.23	3020.39	3087.574904	1	523.18	534.8175032
15	33	3	5.77	1658.06	9572.37	1409.16	8135.43	1436.94	1485.150112	0.48100861	248.9	257.2507292
30	44	4	5.77	1637.69	9454.75	1286.32	7426.23	2028.52	2119.767607	0.686547751	351.37	367.17545
45	55	5	5.77	1705.72	9847.54	1271.4	7340.11	2507.43	2649.201633	0.858020199	434.32	458.8767198
60	66	6	5.77	1582.26	9134.76	1318.6	7612.61	1522.15	1626.001298	0.52662732	263.66	281.6486562
75	77	7	5.77	1612.51	9309.38	1308.82	7556.13	1753.25	1893.58377	0.613291606	303.69	327.9979782
90	88	8	5.77	1679.28	9694.85	1322.9	7637.43	2057.42	2246.678202	0.7276514	356.38	389.1627269
105	99	9	5.77	1594.81	9207.23	1240.2	7159.97	2047.26	2260.310772	0.7320667	354.61	391.5129505
120	110	10	5.77	1557.84	8993.75	1321.49	7629.29	1364.46	1523.116776	0.493305207	236.35	263.832322
135	121	11	5.77	1608.1	9283.92	1270.96	7337.56	1946.36	2196.710384	0.711467884	337.14	380.504603
150	132	12	5.77	1483.72	8565.89	1324.64	7647.47	918.42	1048.016703	0.339430373	159.08	181.5275114
165	143	13	5.77	1563.67	9027.44	1280.22	7391.03	1636.41	1887.974985	0.611475039	283.45	327.0247123
180	154	14	5.77	1568.94	9057.86	1231.89	7111.98	1945.88	2269.851287	0.735156671	337.05	393.1657534
195	165	15	5.77	1568.87	9057.43	1374.31	7934.23	1123.2	1324.694351	0.429040393	194.56	229.4627252
210	176	16	5.77	1499.75	8658.39	1286.06	7424.72	1233.67	1471.07506	0.476449999	213.69	254.8120888
225	187	17	5.77	1488.52	8593.59	1326.17	7656.3	937.29	1130.022398	0.365990278	162.35	195.7335897
240	198	18	5.77	1531.85	8843.73	1256.85	7256.09	1587.64	1935.273455	0.62679401	275	335.2146583
255	209	19	5.77	1554.11	8972.25	1344.77	7763.66	1208.59	1489.520701	0.482424151	209.34	258.000036
270	220	20	5.77	1495.31	8632.79	1252.29	7229.77	1403.02	1748.270575	0.566227745	243.02	302.8215671
285	231	21	5.77	1529.41	8829.64	1306.85	7544.76	1284.88	1618.76794	0.524284589	222.56	280.3942723
300	242	22	5.77	1599.79	9235.97	1285.95	7424.08	1811.89	2307.97496	0.747504119	313.84	399.7675695
315	253	23	5.77	1473.02	8504.1	1321.83	7631.22	872.88	1124.167555	0.364094019	151.19	194.7150726
330	264	24	5.77	1533.43	8852.87	1301.8	7515.59	1337.28	1741.309994	0.56397336	231.63	301.6119541
345	275	25	5.77	1527.81	8820.42	1338.28	7726.22	1094.2	1440.547864	0.466562888	189.53	249.5220588
360	286	26	5.77	1495.08	8631.46	1284.11	7413.48	1217.98	1621.243989	0.525086529	210.97	280.8205753
375	297	27	5.77	1543.49	8910.94	1352.48	7808.17	1102.77	1484.124738	0.480676513	191.01	257.0641803
390	308	28	5.77	1494.93	8630.55	1316.17	7598.57	1031.98	1404.216207	0.454795835	178.76	243.2389088
405	319	29	5.77	1491.36	8609.96	1377.5	7952.63	657.33	904.3226184	0.292890908	113.86	156.6430459
420	330	30	5.77	1476.8	8525.9	1306.88	7544.93	980.97	1364.498005	0.441931952	169.92	236.3533044
435	341	31	5.77	1518.19	8764.89	1267.95	7320.16	1444.73	2031.800718	0.658057142	250.24	351.925835
450	352	32	5.77	1512.08	8729.6	1286.02	7424.51	1305.09	1855.718595	0.601027879	226.06	321.4366409
