time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	11	1	7.45	1166.91	8697.59	1158.69	8636.28	61.31	61.98813289	0.013139465	8.22	8.310919138
0	22	2	7.45	1911.76	14249.33	1292.58	9634.28	4615.05	4717.706178	1	619.18	632.9529065
15	33	3	7.45	1759.12	13111.57	1312.9	9785.67	3325.9	3437.485738	0.728634978	446.22	461.1909216
30	44	4	7.45	1712.61	12764.92	1289.31	9609.89	3155.03	3296.950679	0.698846125	423.3	442.3410308
45	55	5	7.45	1681.84	12535.59	1194.29	8901.68	3633.91	3839.373505	0.813822091	487.55	515.1163767
60	66	6	7.45	1660.2	12374.32	1236.52	9216.41	3157.91	3373.363832	0.715043223	423.68	452.5862955
75	77	7	7.45	1638.71	12214.1	1221.7	9105.94	3108.16	3356.94358	0.711562665	417.01	450.3883463
90	88	8	7.45	1575.81	11745.3	1170.37	8723.36	3021.94	3299.922585	0.699476072	405.44	442.7356642
105	99	9	7.45	1505.5	11221.27	1177.13	8773.72	2447.55	2702.257471	0.572790541	328.37	362.5422508
120	110	10	7.45	1553.4	11578.31	1160.71	8651.36	2926.95	3267.290098	0.692559048	392.69	438.3512355
135	121	11	7.45	1538.71	11468.79	1144.05	8527.15	2941.64	3320.008187	0.703733565	394.66	445.4231079
150	132	12	7.45	1536.2	11450.05	1181.23	8804.31	2645.74	3019.075925	0.63994573	354.97	405.0592201
165	143	13	7.45	1505.1	11218.26	1114.78	8309.02	2909.24	3356.476888	0.711463741	390.32	450.3238162
180	154	14	7.45	1519.41	11324.93	1216.09	9064.15	2260.78	2637.179267	0.558996082	303.32	353.8200158
195	165	15	7.45	1598.76	11916.34	1234.55	9201.76	2714.58	3201.556972	0.678625767	364.21	429.5467678
210	176	16	7.45	1523.27	11353.71	1165.02	8683.5	2670.21	3184.060029	0.674916985	358.25	427.1909345
225	187	17	7.45	1461.24	10891.38	1254.02	9346.87	1544.51	1862.103398	0.39470525	207.22	249.830086
240	198	18	7.45	1463.39	10907.41	1248.98	9309.3	1598.11	1948.035991	0.41292016	214.41	261.3577269
255	209	19	7.45	1573.73	11729.79	1199.46	8940.2	2789.59	3438.016243	0.728747428	374.27	461.2671896
270	220	20	7.45	1506.03	11225.19	1163.14	8669.46	2555.73	3184.635683	0.675039005	342.89	427.2672502
285	231	21	7.45	1470.74	10962.17	1136.57	8471.45	2490.72	3137.956605	0.665144561	334.17	421.007162
300	242	22	7.45	1456.51	10856.09	1196.45	8917.71	1938.38	2469.097187	0.523368157	260.06	331.2629178
315	253	23	7.45	1500.78	11186.07	1165.38	8686.13	2499.94	3219.630919	0.682456855	335.4	431.9560511
330	264	24	7.45	1515.6	11296.54	1180.5	8798.84	2497.7	3252.325596	0.689387061	335.1	436.3431586
345	275	25	7.45	1436.81	10709.26	1206.3	8991.17	1718.09	2261.918187	0.479452959	230.51	303.4734859
360	286	26	7.45	1491.47	11116.66	1211.42	9029.29	2087.37	2778.482458	0.588947754	280.05	372.7724421
375	297	27	7.45	1469.77	10954.97	1210.77	9024.47	1930.5	2598.096436	0.550711795	259	348.5661626
390	308	28	7.45	1498.71	11170.6	1187.18	8848.64	2321.96	3159.493268	0.669709632	311.53	423.8991791
405	319	29	7.45	1437.36	10713.4	1205.62	8986.12	1727.28	2376.307748	0.503699819	231.74	318.816612
420	330	30	7.45	1607.35	11980.41	1172.31	8737.79	3242.62	4510.381073	0.956053833	435.04	605.1267746
435	341	31	7.45	1483.18	11054.88	1193.45	8895.39	2159.49	3037.00576	0.643746271	289.73	407.4627245
450	352	32	7.45	1451.51	10818.83	1172.25	8737.4	2081.43	2959.603059	0.62733942	279.26	397.0821743
