time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	7.37	1360.01	10019.62	1310.17	9652.46	367.16	370.8500193	0.019042622	49.84	50.34090033
0	20	2	7.37	4057.38	29892.08	1466.33	10802.97	19089.11	19474.7356	1	2591.05	2643.392682
15	30	3	7.37	3558.88	26219.49	1484.97	10940.28	15279.21	15744.53122	0.808459306	2073.91	2137.069963
30	40	4	7.37	3350.13	24681.52	1466.41	10803.53	13877.99	14444.36152	0.741697439	1883.72	1960.596072
45	50	5	7.37	3255.18	23982.01	1413.81	10416.03	13565.98	14261.52267	0.732308924	1841.37	1935.779059
60	60	6	7.37	3006.18	22147.55	1420.73	10467	11680.55	12402.83487	0.636867947	1585.45	1683.488753
75	70	7	7.37	2837.06	20901.61	1457.65	10739.03	10162.58	10899.45019	0.55967128	1379.41	1479.42851
90	80	8	7.37	2826.33	20822.5	1431.13	10543.61	10278.89	11134.98861	0.571765842	1395.2	1511.402117
105	90	9	7.37	2593.36	19106.13	1394.53	10273.94	8832.19	9663.955167	0.496230366	1198.83	1311.728957
120	100	10	7.37	2697.75	19875.22	1437.12	10587.72	9287.5	10264.2749	0.527055931	1260.63	1393.211614
135	110	11	7.37	2575.5	18974.6	1390.99	10247.88	8726.72	9741.446163	0.500209418	1184.51	1322.242537
150	120	12	7.37	2385.89	17577.69	1474.35	10862	6715.69	7571.919331	0.388807298	911.54	1027.75848
165	130	13	7.37	2317.32	17072.49	1528.1	11258.02	5814.47	6621.68347	0.340014037	789.22	898.7861367
180	140	14	7.37	2326.11	17137.2	1375.57	10134.31	7002.89	8055.240883	0.413625173	950.54	1093.381257
195	150	15	7.37	2398.68	17671.91	1435.51	10575.88	7096.03	8244.410641	0.423338771	963.17	1119.043888
210	160	16	7.37	2224.08	16385.52	1402.36	10331.63	6053.89	7104.305727	0.364796004	821.72	964.2973529
225	170	17	7.37	2161.48	15924.35	1420.16	10462.78	5461.57	6473.625417	0.332411466	741.32	878.6901924
240	180	18	7.37	2289.92	16870.64	1474.81	10865.44	6005.2	7189.529709	0.369172134	815.11	975.8638449
255	190	19	7.37	2217.81	16339.33	1394.36	10272.69	6066.64	7336.081979	0.376697385	823.45	995.7565812
270	200	20	7.37	1973	14535.75	1471.43	10840.54	3695.21	4513.339686	0.23175358	501.57	612.6189814
285	210	21	7.37	2120.48	15622.29	1462.08	10771.65	4850.64	5984.128145	0.307276477	658.4	812.2536347
300	220	22	7.37	2074.4	15282.83	1421.81	10474.97	4807.86	5990.96247	0.30762741	652.59	813.1772136
315	230	23	7.37	2097.04	15449.56	1533.51	11297.87	4151.69	5225.317075	0.268312607	563.53	709.2588636
330	240	24	7.37	2026.5	14929.93	1376.95	10144.43	4785.5	6083.562809	0.312382306	649.55	825.7398856
345	250	25	7.37	2056.49	15150.86	1491.92	10991.51	4159.35	5340.711117	0.274237927	564.57	724.9222295
360	260	26	7.37	2072.32	15267.49	1506.37	11097.92	4169.57	5407.640781	0.27767467	565.95	733.9975825
375	270	27	7.37	2029.82	14954.36	1415.98	10431.98	4522.38	5924.157033	0.304197046	613.84	804.1085784
390	280	28	7.37	2043.42	15054.53	1488.36	10965.27	4089.26	5410.621816	0.277827742	555.06	734.4164336
405	290	29	7.37	1999.89	14733.85	1457.37	10736.97	3996.88	5341.540298	0.274280504	542.52	725.0386408
420	300	30	7.37	1982.07	14602.58	1508.78	11115.72	3486.86	4706.768682	0.241685884	473.29	638.874675
435	310	31	7.37	1998.45	14723.25	1473.49	10855.7	3867.55	5273.1148	0.270766952	524.96	715.7436479
450	320	32	7.37	2112.03	15560.03	1544.4	11378.1	4181.93	5759.051912	0.295719132	567.63	781.6990329
