time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	10.43	1366.03	14242.65	1395.76	14552.56	-309.91	-313.0246473	-0.018593609	-29.73	-30.02879147
0	20	2	10.43	3213.72	33507.16	1631.02	17005.45	16501.71	16835.06665	1	1582.7	1614.672661
15	30	3	10.43	3005.86	31340	1520.17	15849.72	15490.28	15962.02926	0.948141732	1485.69	1530.935997
30	40	4	10.43	2735.73	28523.48	1507.41	15716.68	12806.8	13329.45542	0.791767309	1228.32	1278.44869
45	50	5	10.43	2721.91	28379.45	1519.32	15840.85	12538.6	13181.46777	0.782976868	1202.59	1264.248108
60	60	6	10.43	2470.32	25756.25	1550.1	16161.78	9594.47	10187.75889	0.605151087	920.22	977.1232269
75	70	7	10.43	2345.31	24452.83	1506.14	15703.41	8749.42	9383.824531	0.557397528	839.17	900.0166905
90	80	8	10.43	2346.19	24462.01	1585.38	16529.59	7932.42	8593.088001	0.510427917	760.81	824.175634
105	90	9	10.43	2333.3	24327.63	1525.81	15908.58	8419.05	9211.908003	0.547185716	807.49	883.5347923
120	100	10	10.43	2102.15	21917.65	1470.02	15326.9	6590.75	7283.905228	0.43266269	632.13	698.6116924
135	110	11	10.43	2062.76	21506.98	1593.71	16616.49	4890.49	5459.146741	0.324272357	469.05	523.5902289
150	120	12	10.43	2058.22	21459.63	1526.63	15917.06	5542.57	6249.230225	0.371203177	531.59	599.3660513
165	130	13	10.43	1969.09	20530.27	1565.87	16326.23	4204.04	4787.680077	0.284387355	403.22	459.1983807
180	140	14	10.43	1951.64	20348.41	1565.99	16327.48	4020.93	4625.170426	0.27473431	385.65	443.6030905
195	150	15	10.43	1977.43	20617.25	1577.58	16448.29	4168.96	4843.640485	0.287711393	399.85	464.559422
210	160	16	10.43	1907.72	19890.47	1542.99	16087.63	3802.84	4462.674081	0.265082056	364.73	428.01462
225	170	17	10.43	1973.71	20578.43	1546.21	16121.28	4457.15	5283.081518	0.313814114	427.5	506.7178239
240	180	18	10.43	1835.61	19138.57	1539.31	16049.25	3089.32	3698.587544	0.21969545	296.3	354.7355047
255	190	19	10.43	1908.32	19896.72	1518.99	15837.4	4059.32	4908.731077	0.291577763	389.33	470.7971459
270	200	20	10.43	1900.4	19814.08	1561.22	16277.76	3536.32	4319.271002	0.256563938	339.18	414.2753875
285	210	21	10.43	1836.45	19147.32	1571.19	16381.72	2765.6	3411.860043	0.202663887	265.26	327.2454422
300	220	22	10.43	1809.19	18863.14	1620.46	16895.37	1967.77	2451.992408	0.145647918	188.73	235.1720614
315	230	23	10.43	1785.45	18615.58	1542.76	16085.22	2530.36	3184.711121	0.189171281	242.69	305.4496364
330	240	24	10.43	1800.87	18776.41	1524.12	15890.96	2885.45	3668.125861	0.217886031	276.75	351.8182024
345	250	25	10.43	1907.24	19885.47	1603.36	16717.13	3168.34	4068.229089	0.241652093	303.88	390.1896436
360	260	26	10.43	1784.34	18604.07	1562.52	16291.25	2312.82	2999.565843	0.178173684	221.82	287.6850318
375	270	27	10.43	1814.73	18920.87	1587.32	16549.88	2370.99	3105.912613	0.184490663	227.41	297.8990157
390	280	28	10.43	1717.22	17904.22	1587.84	16555.27	1348.95	1784.83596	0.106018942	129.38	171.1865351
405	290	29	10.43	1794.74	18712.52	1562.56	16291.72	2420.8	3235.223663	0.192171717	232.18	310.2917342
420	300	30	10.43	1758.01	18329.54	1634.54	17042.2	1287.34	1737.727237	0.103220692	123.47	166.667067
435	310	31	10.43	1704.02	17766.61	1618.53	16875.25	891.36	1215.30261	0.072188761	85.49	116.559213
450	320	32	10.43	1827.74	19056.54	1596.52	16645.74	2410.8	3319.979614	0.197206205	231.22	318.4194817
