time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	11	1	5.69	1368.6	7783.31	1375.71	7823.77	-40.46	-40.90751683	-0.005012661	-7.11	-7.188641737
0	22	2	5.69	3024.23	17199.02	1620.48	9215.76	7983.26	8160.837915	1	1403.75	1434.974712
15	33	3	5.69	2430.11	13820.17	1531.8	8711.47	5108.7	5280.09964	0.647004596	898.31	928.4487849
30	44	4	5.69	2246.56	12776.34	1548.95	8809.01	3967.33	4145.789846	0.508010316	697.61	728.9901406
45	55	5	5.69	2389.86	13591.31	1501.61	8539.78	5051.53	5337.146611	0.653994929	888.25	938.472201
60	66	6	5.69	2201.36	12519.3	1470.73	8364.17	4155.13	4438.620879	0.543892787	730.63	780.4784864
75	77	7	5.69	2010.38	11433.16	1445.98	8223.41	3209.75	3466.665055	0.424792784	564.4	609.5757479
90	88	8	5.69	2145.86	12203.63	1436.99	8172.27	4031.36	4402.197236	0.539429564	708.87	774.0776201
105	99	9	5.69	2092.74	11901.57	1433.25	8150.99	3750.58	4140.888982	0.507409781	659.49	728.1206839
120	110	10	5.69	2090.84	11890.75	1416.46	8055.51	3835.24	4281.194307	0.524602296	674.38	752.7956052
135	121	11	5.69	2037.27	11586.11	1418.11	8064.86	3521.25	3974.170473	0.486980689	619.16	698.7994007
150	132	12	5.69	2091.14	11892.47	1459.01	8297.47	3595	4102.284408	0.502679314	632.13	721.3288019
165	143	13	5.69	2061.73	11725.18	1492.36	8487.17	3238.01	3735.788635	0.457770228	569.37	656.8991372
180	154	14	5.69	2103.17	11960.85	1444.72	8216.22	3744.63	4368.076769	0.535248563	658.45	768.0759244
195	165	15	5.69	2091.52	11894.63	1448.99	8240.52	3654.11	4309.632189	0.528086973	642.53	757.7954606
210	176	16	5.69	1918.53	10910.81	1367.05	7774.48	3136.33	3739.879256	0.458271478	551.48	657.6057406
225	187	17	5.69	2003.53	11394.21	1470.8	8364.51	3029.7	3652.688986	0.447587493	532.73	642.2738236
240	198	18	5.69	2001.63	11383.4	1470.86	8364.9	3018.5	3679.437986	0.45086522	530.77	646.9886698
255	209	19	5.69	2160.74	12288.29	1369.45	7788.14	4500.15	5546.18736	0.679610037	791.29	975.2214029
270	220	20	5.69	2058.77	11708.38	1538.41	8749.03	2959.35	3687.577173	0.451862567	520.36	648.4084875
285	231	21	5.69	1891.29	10755.88	1489.11	8468.64	2287.24	2881.600447	0.353101051	402.18	506.6901889
300	242	22	5.69	1985.29	11290.46	1437.33	8174.17	3116.29	3969.512105	0.486409869	547.96	697.9882659
315	253	23	5.69	1836.53	10444.47	1482.77	8432.63	2011.84	2591.015092	0.317493757	353.76	455.601588
330	264	24	5.69	1926.39	10955.49	1437.33	8174.21	2781.28	3621.58311	0.44377589	489.06	636.8188157
345	275	25	5.69	2013.45	11450.65	1534.29	8725.6	2725.05	3587.611916	0.439613181	479.16	630.8288382
360	286	26	5.69	1856.23	10556.49	1456.32	8282.18	2274.31	3027.316882	0.370956624	399.91	532.3171838
375	297	27	5.69	1817.93	10338.7	1415.84	8051.98	2286.72	3077.502762	0.377106223	402.09	541.1388738
390	308	28	5.69	1921.39	10927.05	1348.45	7668.75	3258.3	4433.572032	0.543274119	572.94	779.6000246
405	319	29	5.69	1830.26	10408.8	1340.66	7624.42	2784.38	3830.614474	0.469389849	489.6	673.5678487
420	330	30	5.69	1936.67	11013.95	1433.92	8154.82	2859.13	3976.958705	0.487322349	502.75	699.3092266
435	341	31	5.69	1666.23	9475.95	1324.34	7531.61	1944.34	2734.42886	0.335067169	341.89	480.8181095
450	352	32	5.69	1795.66	10212.03	1434.16	8156.16	2055.87	2923.259077	0.358205751	361.5	514.0199313
