time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	9	1	5.6	1334.46	7474.18	1425.09	7981.8	-507.62	-512.2092004	-0.074496064	-90.63	-91.44935155
0	18	2	5.6	2677.32	14995.37	1471.62	8242.37	6753	6875.65458	1	1205.7	1227.599101
15	27	3	5.6	2262.16	12670.14	1404.49	7866.42	4803.72	4935.187261	0.717777079	857.67	881.1425434
30	36	4	5.6	2159.37	12094.41	1384.48	7754.36	4340.05	4499.138207	0.6543578	774.89	803.2942489
45	45	5	5.6	1928.52	10801.46	1450.68	8125.14	2676.32	2799.505282	0.407162002	477.84	499.8339526
60	54	6	5.6	1876.58	10510.52	1396.32	7820.62	2689.9	2839.148031	0.412927671	480.26	506.907035
75	63	7	5.6	1858.42	10408.84	1399.88	7840.61	2568.23	2735.233879	0.397814324	458.54	488.3574069
90	72	8	5.6	1798.23	10071.71	1407.9	7885.51	2186.2	2349.411513	0.34170005	390.33	419.4702204
105	81	9	5.6	1799.74	10080.15	1374.83	7700.29	2379.86	2580.650922	0.375331671	424.91	460.7600377
120	90	10	5.6	1782.35	9982.74	1357.58	7603.69	2379.05	2603.09533	0.378596001	424.77	464.7724105
135	99	11	5.6	1723.36	9652.37	1359.75	7615.8	2036.57	2248.508304	0.327024617	363.61	401.4495472
150	108	12	5.6	1830.51	10252.49	1378.75	7722.22	2530.27	2818.841589	0.409974288	451.76	503.2822095
165	117	13	5.6	1732.81	9705.28	1384.41	7753.93	1951.35	2193.550449	0.319031508	348.4	391.6432093
180	126	14	5.6	1717.31	9618.47	1358.97	7611.45	2007.02	2276.526997	0.331099675	358.34	406.4586722
195	135	15	5.6	1693.72	9486.37	1363.21	7635.19	1851.18	2118.743604	0.308151548	330.51	378.2808526
210	144	16	5.6	1745.12	9774.21	1356.58	7598.05	2176.16	2513.212602	0.365523395	388.54	448.7186715
225	153	17	5.6	1812.97	10154.26	1340.96	7510.59	2643.67	3080.734687	0.448064203	472.01	550.0450433
240	162	18	5.6	1765.15	9886.4	1377.12	7713.13	2173.27	2555.461787	0.371668145	388.03	456.2690494
255	171	19	5.6	1841.07	10311.64	1447.93	8109.71	2201.93	2612.569575	0.379973942	393.14	466.4569731
270	180	20	5.6	1739.45	9742.5	1398.56	7833.2	1909.3	2285.847111	0.332455199	340.89	408.1194269
285	189	21	5.6	1650.52	9244.37	1426.6	7990.24	1254.13	1515.0404	0.220348533	223.92	270.5045301
300	198	22	5.6	1665.92	9330.62	1428.01	7998.13	1332.49	1624.2552	0.23623281	237.91	290.0033431
315	207	23	5.6	1661.18	9304.08	1447.56	8107.65	1196.43	1471.588048	0.214028793	213.62	262.748877
330	216	24	5.6	1703.51	9541.17	1480.38	8291.44	1249.73	1551.042876	0.225584758	223.13	276.9271738
345	225	25	5.6	1652.02	9252.81	1440.79	8069.73	1183.08	1481.597959	0.215484641	211.23	264.5281273
360	234	26	5.6	1684.91	9437	1464.9	8204.76	1232.24	1557.113289	0.226467643	220.01	278.0144247
375	243	27	5.6	1726.95	9672.49	1516.56	8494.11	1178.38	1502.515365	0.218526883	210.39	268.2616878
390	252	28	5.6	1657.9	9285.73	1394.5	7810.45	1475.28	1898.089402	0.276059447	263.4	338.8893962
405	261	29	5.6	1650.98	9246.95	1441.12	8071.58	1175.37	1525.897851	0.221927648	209.86	272.4460579
420	270	30	5.6	1698.4	9512.57	1514.55	8482.82	1029.75	1348.935893	0.196190178	183.85	240.8369643
435	279	31	5.6	1695.73	9497.62	1412.5	7911.27	1586.35	2096.84908	0.304967193	283.23	374.375494
450	288	32	5.6	1725.52	9664.48	1443.85	8086.84	1577.64	2104.188873	0.306034698	281.67	375.6794199
