time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	14.43	1277.67	18660.94	1218.74	17590.18	1070.76	1081.521317	0.084380349	58.93	59.52225635
0	20	2	14.43	2261.44	33029.28	1417.98	20465.86	12563.42	12817.21792	1	843.46	860.4990223
15	30	3	14.43	1872.68	27351.3	1351.64	19508.27	7843.03	8081.885823	0.630549147	521.04	536.9080304
30	40	4	14.43	1799.65	26284.63	1282.71	18513.43	7771.2	8088.348688	0.63105338	516.94	538.0367216
45	50	5	14.43	1797.93	26259.47	1332.99	19239.22	7020.25	7380.185914	0.575802484	464.94	488.7779835
60	60	6	14.43	1707.77	24648.35	1287.71	18585.63	6062.72	6437.617667	0.502263261	420.06	446.0350597
75	70	7	14.43	1667.87	24072.49	1293.5	18669.22	5403.27	5795.051281	0.452130198	374.37	401.5148878
90	80	8	14.43	1677.48	24211.22	1261.42	18206.15	6005.07	6505.214671	0.507537183	416.06	450.7124174
105	90	9	14.43	1634.88	23596.37	1244.29	17958.89	5637.48	6168.385641	0.481257764	390.59	427.3735335
120	100	10	14.43	1601.07	23108.32	1284.49	18539.15	4569.17	5049.713804	0.39397893	316.58	349.8750092
135	110	11	14.43	1651.47	23835.74	1325.31	19128.32	4707.42	5254.789714	0.409978963	326.16	364.0852555
150	120	12	14.43	1581.88	22831.46	1334.44	19260.03	3571.43	4026.776081	0.314169277	247.44	278.987821
165	130	13	14.43	1578.65	22784.8	1297.27	18723.59	4061.21	4625.021219	0.360844393	281.38	320.4435305
180	140	14	14.43	1603.02	23136.49	1323.9	19108.03	4028.46	4633.831988	0.36153181	279.12	321.0644227
195	150	15	14.43	1586.06	22891.69	1313.29	18954.86	3936.83	4573.943902	0.356859338	272.77	316.9135264
210	160	16	14.43	1557.42	22478.43	1336.4	19288.33	3190.1	3743.61703	0.292077193	221.02	259.3693727
225	170	17	14.43	1609.06	23223.7	1355.51	19564.15	3659.55	4337.682369	0.338426201	253.55	300.5340451
240	180	18	14.43	1599.53	23086.09	1349.47	19477	3609.09	4320.865213	0.337114126	250.06	299.3761738
255	190	19	14.43	1601.58	23115.77	1320.08	19052.79	4062.98	4913.15693	0.383324756	281.5	340.4037617
270	200	20	14.43	1613.03	23281	1300.49	18770.12	4510.88	5509.601274	0.429859374	312.54	381.737218
285	210	21	14.43	1599.18	23081.13	1322.36	19085.79	3995.34	4928.9633	0.38455797	276.82	341.5067606
300	220	22	14.43	1577.73	22771.44	1254.63	18108.18	4663.26	5810.779775	0.453357336	323.1	402.6073917
315	230	23	14.43	1550.24	22374.69	1337.78	19308.32	3066.37	3859.333312	0.301105383	212.46	267.4021581
330	240	24	14.43	1623.41	23430.8	1292.27	18651.42	4779.38	6075.782764	0.474032883	331.14	420.9614436
345	250	25	14.43	1565.56	22595.92	1303.87	18818.8	3777.12	4849.918082	0.378390858	261.69	336.0166113
360	260	26	14.43	1567.93	22630.13	1323.3	19099.28	3530.85	4579.265597	0.357274537	244.63	317.2680071
375	270	27	14.43	1550.33	22376.11	1318.8	19034.31	3341.8	4377.639201	0.341543635	231.53	303.2960693
390	280	28	14.43	1525.48	22017.43	1286.6	18569.65	3447.78	4561.860504	0.355916591	238.88	316.0692496
405	290	29	14.43	1544.82	22296.57	1343.51	19390.96	2905.61	3883.137073	0.302962554	201.31	269.0362176
420	300	30	14.43	1559.13	22503.12	1302.19	18794.68	3708.44	5005.870396	0.390558265	256.94	346.832722
435	310	31	14.43	1518.42	21915.45	1307.94	18877.66	3037.79	4141.799177	0.323143384	210.48	286.973718
450	320	32	14.43	1551.12	22387.44	1329.32	19186.22	3201.22	4408.488942	0.343950534	221.8	305.4469381
