time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	11	1	7.54	1301.96	9816.35	1196.1	8812.07	1004.28	1015.388062	0.187674834	105.86	107.0308881
0	22	2	7.54	1963.11	14801.19	1290.64	9508.56	5292.63	5410.358121	1	672.47	687.4282777
15	33	3	7.54	1874.75	14134.99	1278.42	9418.56	4716.43	4874.66877	0.90098819	596.33	616.3371931
30	44	4	7.37	1747.96	12877.8	1208.13	8900.73	3977.07	4155.967974	0.768150256	539.83	564.1128246
45	55	5	7.37	1724.46	12704.69	1250.44	9212.44	3492.25	3689.703962	0.681970376	474.02	500.8213822
60	66	6	7.37	1612.58	11880.41	1249.68	9206.8	2673.61	2856.021633	0.527880331	362.9	387.6594757
75	77	7	7.37	1632.43	12026.64	1255.43	9249.15	2777.49	2999.806067	0.554456101	377	407.1758628
90	88	8	7.37	1634.47	12041.72	1259.55	9279.53	2762.19	3016.278671	0.557500743	374.92	409.4081867
105	99	9	7.37	1554.33	11451.3	1250.3	9211.41	2239.89	2472.987064	0.457083803	304.03	335.6692771
120	110	10	7.37	1533.08	11294.69	1249.6	9206.2	2088.49	2331.335587	0.430902268	283.48	316.4425074
135	121	11	7.37	1556.09	11464.26	1227.3	9041.96	2422.3	2733.868125	0.505302618	328.79	371.0805849
150	132	12	7.37	1597.65	11770.46	1220.82	8994.22	2776.24	3167.99056	0.58554175	376.83	430.0038479
165	143	13	7.37	1657.42	12210.78	1310.02	9651.38	2559.4	2952.856054	0.545778299	347.4	400.8057331
180	154	14	7.37	1588.15	11700.45	1189.56	8763.9	2936.55	3425.458814	0.633129774	398.59	464.9516026
195	165	15	7.37	1595.37	11753.62	1284.95	9466.64	2286.98	2697.248475	0.498534185	310.42	366.1072119
210	176	16	7.37	1535.77	11314.5	1283.32	9454.62	1859.88	2217.791697	0.409915877	252.45	301.0309879
225	187	17	7.37	1590.72	11719.36	1241.09	9143.51	2575.85	3105.515042	0.573994359	349.63	421.5234677
240	198	18	7.37	1620.16	11936.25	1197.78	8824.43	3111.82	3793.191556	0.701098055	422.38	514.8653359
255	209	19	7.37	1592.32	11731.13	1281.19	9438.94	2292.19	2824.998101	0.522146231	311.13	383.4506124
270	220	20	7.37	1536.73	11321.61	1327.08	9777.01	1544.6	1924.690118	0.355741723	209.65	261.2399866
285	231	21	7.37	1575.53	11607.43	1270.5	9360.22	2247.21	2831.168281	0.523286669	305.03	384.2948638
300	242	22	7.37	1549.05	11412.35	1323.49	9750.6	1661.75	2116.7275	0.391236116	225.56	287.3170181
315	253	23	7.37	1583.84	11668.65	1238.82	9126.84	2541.81	3273.554592	0.605053218	345.02	444.3454882
330	264	24	7.37	1583.71	11667.75	1341.53	9883.52	1784.23	2323.296192	0.429416342	242.18	315.3494066
345	275	25	7.37	1498.5	11039.97	1250.46	9212.53	1827.44	2405.880816	0.444680511	248.04	326.5522686
360	286	26	7.37	1553.43	11444.66	1325.95	9768.74	1675.92	2230.804468	0.412321036	227.48	302.7969117
375	297	27	7.37	1600.46	11791.14	1319.63	9722.17	2068.97	2784.45148	0.514651973	280.83	377.9453105
390	308	28	7.37	1587.83	11698.08	1278.78	9421.23	2276.85	3098.112047	0.572626059	309.05	420.5246406
405	319	29	7.37	1610.99	11868.69	1262.08	9298.18	2570.51	3536.382538	0.653631878	348.91	480.0133948
420	330	30	7.37	1631.43	12019.27	1380.42	10169.98	1849.29	2572.30345	0.475440515	251.01	349.1469099
435	341	31	7.37	1598.89	11779.59	1340.5	9875.89	1903.7	2677.274665	0.494842412	258.39	363.3876139
450	352	32	7.37	1597.65	11770.46	1380.47	10170.41	1600.05	2275.124733	0.42051278	217.18	308.8100932
