time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	11	1	7.2	1393.01	10262.74	1303.33	9377.46	885.28	895.0718364	0.087633403	89.68	90.67192559
0	22	2	7.2	2774.61	20441.47	1452.38	10449.9	9991.57	10213.82033	1	1322.23	1351.641399
15	33	3	7.2	2447.35	18030.41	1458.04	10490.57	7539.84	7792.805698	0.762966789	989.31	1022.501884
30	44	4	7.2	2293.01	16498.22	1474.23	10607.11	5891.11	6156.106001	0.602723154	818.78	855.6106525
45	55	5	7.2	2159.71	15539.13	1409.44	10140.9	5398.23	5703.449242	0.558405088	750.27	792.690727
60	66	6	7.2	2184.87	15720.13	1489.28	10715.34	5004.79	5346.250392	0.523432978	695.59	743.0478222
75	77	7	7.2	2134.45	15357.36	1467.72	10560.28	4797.08	5181.048244	0.507258604	666.73	720.0964536
90	88	8	7.2	2003.81	14417.45	1414.93	10180.41	4237.04	4626.797353	0.452993807	588.88	643.0499653
105	99	9	7.2	1987.96	14303.36	1426.71	10265.2	4038.16	4458.396368	0.436506246	561.25	619.6572106
120	110	10	7.2	1961.44	14112.54	1514.78	10898.83	3213.71	3587.393998	0.351229401	446.66	498.596763
135	121	11	7.2	1895.98	13641.59	1417.39	10198.12	3443.47	3886.386027	0.380502682	478.59	540.1485968
150	132	12	7.2	1922.19	13830.17	1520.72	10941.57	2888.6	3296.205491	0.322720137	401.47	458.1207569
165	143	13	7.2	1949.05	14023.4	1520.05	10936.75	3086.65	3561.160092	0.34866093	429	494.9500849
180	154	14	7.2	1990.94	14324.82	1459.16	10498.63	3826.19	4463.215766	0.436978097	531.78	620.3165238
195	165	15	7.2	1877.85	13511.13	1535.53	11048.12	2463.01	2904.857045	0.284404557	342.32	403.7298524
210	176	16	7.2	1862.78	13402.74	1536.79	11057.21	2345.53	2796.89924	0.27383478	325.99	388.7228827
225	187	17	7.2	1932.28	13902.77	1499.26	10787.16	3115.61	3756.264426	0.367762924	433.02	522.060727
240	198	18	7.2	1925.71	13855.5	1523.19	10959.32	2896.18	3530.334506	0.345642903	402.52	490.6567428
255	209	19	7.2	1951.78	14043.09	1492.75	10740.37	3302.72	4070.420746	0.398520888	459.03	565.7292277
270	220	20	7.2	1851.11	13318.76	1467.62	10559.5	2759.26	3438.24968	0.336627194	383.49	477.8579654
285	231	21	7.2	1955.65	14070.92	1459.6	10501.86	3569.06	4496.513217	0.440238135	496.05	624.9531757
300	242	22	7.2	1867.41	13436.04	1531.63	11020.07	2415.97	3077.448556	0.301302398	335.78	427.7146141
315	253	23	7.2	1886.59	13573.99	1586.43	11414.33	2159.66	2781.389998	0.272316323	300.16	386.5710444
330	264	24	7.2	1895.16	13635.69	1507.96	10849.76	2785.93	3627.638006	0.355169553	387.2	504.1840376
345	275	25	7.2	1876.17	13499.03	1497.3	10773.07	2725.96	3588.809958	0.351368033	378.87	498.7939768
360	286	26	7.2	1861.65	13394.59	1521.45	10946.83	2447.76	3258.194868	0.318998647	340.2	452.8376533
375	297	27	7.2	1942.87	13978.94	1602.38	11529.15	2449.79	3296.964862	0.322794484	340.49	458.2366513
390	308	28	7.2	1846.61	13286.37	1560.02	11224.33	2062.04	2805.819867	0.274708168	286.59	389.9632964
405	319	29	7.2	1823.78	13122.09	1581.95	11382.15	1739.94	2393.72476	0.234361354	241.83	332.6979429
420	330	30	7.2	1780.35	12809.64	1552.29	11168.71	1640.93	2282.481331	0.223469892	228.06	317.2241914
435	341	31	7.2	1876.12	13498.68	1525.66	10977.16	2521.52	3546.147824	0.34719113	350.46	492.8705568
450	352	32	7.2	1812.02	13037.47	1492.11	10735.76	2301.71	3272.821068	0.320430648	319.91	454.8827558
