time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	9	1	5.51	1274.37	7027.79	1378	7599.3	-571.51	-576.6768057	-0.078477406	-103.63	-104.5668796
0	18	2	5.51	2772.2	15287.91	1463.48	8070.68	7217.23	7348.316378	1	1308.72	1332.49025
15	27	3	5.51	2410.38	13292.61	1444.73	7967.32	5325.29	5471.031486	0.74452857	965.65	992.0777187
30	36	4	5.51	2519.64	13895.14	1411.63	7784.78	6110.36	6334.340418	0.862012479	1108.01	1148.625044
45	45	5	5.51	2341.38	12912.05	1361.8	7509.94	5402.11	5650.757562	0.7689867	979.58	1024.667971
60	54	6	5.51	2426.07	13379.13	1357.5	7486.25	5892.88	6219.844102	0.84643118	1068.57	1127.859181
75	63	7	5.51	2270.38	12520.51	1336.44	7370.09	5150.42	5485.335533	0.746475145	933.94	994.6711662
90	72	8	5.51	2163.23	11929.61	1383.95	7632.13	4297.48	4618.309848	0.628485439	779.28	837.4574165
105	81	9	5.51	2204.39	12156.62	1349.02	7439.46	4717.16	5115.151018	0.696098365	855.37	927.5383338
120	90	10	5.51	2134.4	11770.63	1430.75	7890.2	3880.43	4245.866716	0.577801295	703.65	769.9157347
135	99	11	5.51	2040.62	11253.5	1413.11	7792.92	3460.58	3820.709755	0.519943557	627.51	692.8126436
150	108	12	5.51	2134.37	11770.46	1339.66	7387.84	4382.62	4882.44793	0.664430827	794.71	885.3448837
165	117	13	5.51	1988.3	10964.92	1475.91	8139.23	2825.69	3176.413031	0.432264054	512.39	575.9875546
180	126	14	5.51	2153.69	11877.01	1467.83	8094.68	3782.33	4290.229474	0.583838427	685.86	777.9587679
195	135	15	5.51	1921.46	10596.34	1342.83	7405.34	3191	3652.216879	0.497014104	578.63	662.2633195
210	144	16	5.51	1884.45	10392.25	1344.27	7413.26	2978.99	3440.38821	0.468187274	540.18	623.8452977
225	153	17	5.51	1927.73	10630.89	1439.91	7940.74	2690.15	3134.898992	0.426614592	487.82	568.4688312
240	162	18	5.51	1949.09	10748.68	1430.09	7886.54	2862.14	3365.476631	0.457992887	519	610.2714652
255	171	19	5.51	1862.2	10269.55	1400.03	7720.8	2548.75	3024.068297	0.411532131	462.17	548.3604295
270	180	20	5.51	1838.96	10141.37	1458.14	8041.25	2100.12	2514.300129	0.342160027	380.82	455.9243162
285	189	21	5.51	1902.72	10492.98	1393.89	7686.93	2806.05	3389.823315	0.46130612	508.83	614.6874779
300	198	22	5.51	1864.66	10283.12	1453.23	8014.15	2268.97	2765.789103	0.376384053	411.43	501.5176977
315	207	23	5.51	2062.19	11372.41	1350.11	7445.49	3926.92	4830.043161	0.657299293	712.08	875.8459897
330	216	24	5.51	1892.26	10435.29	1372.68	7569.96	2865.33	3556.16788	0.483943219	519.58	644.8519741
345	225	25	5.51	1858.88	10251.24	1341.79	7399.61	2851.63	3571.161027	0.48598357	517.09	647.5635533
360	234	26	5.51	1906.31	10512.8	1388.53	7657.38	2855.42	3608.235756	0.491028907	517.78	654.2898452
375	243	27	5.51	1799.7	9924.84	1430.62	7889.47	2035.37	2595.236425	0.353174291	369.08	470.6023278
390	252	28	5.51	1816.99	10020.22	1333.66	7354.76	2665.46	3429.370274	0.466687891	483.33	621.8504627
405	261	29	5.51	1709.27	9426.18	1395.51	7695.85	1730.33	2246.362276	0.305697545	313.76	407.3319123
420	270	30	5.51	1737.67	9582.79	1377.07	7594.17	1988.62	2605.021506	0.354505899	360.6	472.3731809
435	279	31	5.51	1708.98	9424.55	1374.56	7580.34	1844.21	2437.690322	0.331734536	334.42	442.0388119
450	288	32	5.51	1819.09	10031.77	1332.54	7348.59	2683.18	3578.710923	0.487011002	486.55	648.9396163
