time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	12	1	10.43	1102.33	11493.17	1191.18	12419.56	-926.39	-937.5736477	-0.239704959	-88.85	-89.92262287
0	24	2	10.43	1592.61	16605.03	1226.36	12786.42	3818.61	3911.365251	1	366.25	375.1463289
15	36	3	10.43	1522.12	15870.02	1201.58	12528.05	3341.97	3464.472739	0.885745134	320.54	332.289665
30	48	4	10.43	1448.15	15098.82	1269.98	13241.21	1857.61	1948.949901	0.498278677	178.17	186.9307357
45	60	5	10.43	1421.55	14821.44	1205.45	12568.33	2253.11	2392.434541	0.611662268	216.1	229.4628777
60	72	6	10.43	1404.42	14642.86	1248	13012.01	1630.85	1752.601668	0.448079265	156.42	168.0975889
75	84	7	10.43	1357.87	14157.56	1231.31	12838.04	1319.52	1435.148078	0.366917428	126.56	137.6503128
90	96	8	10.43	1329.33	13859.94	1221.25	12733.13	1126.81	1240.346321	0.317113397	108.08	118.9700396
105	108	9	10.43	1350.44	14080.1	1252.25	13056.34	1023.76	1140.51752	0.291590646	98.19	109.3883481
120	120	10	10.43	1317.52	13736.81	1230.75	12832.18	904.63	1019.967477	0.260770194	86.77	97.83290181
135	132	11	10.43	1385.3	14443.51	1232.18	12847.08	1596.43	1821.699554	0.465745191	153.12	174.7265058
150	144	12	10.43	1299.7	13551.07	1247.43	13006.02	545.05	629.4695834	0.16093347	52.27	60.36579235
165	156	13	10.43	1316.12	13722.24	1223.68	12758.46	963.78	1126.491318	0.288004634	92.44	108.0462942
180	168	14	10.43	1346.13	14035.16	1207.4	12588.75	1446.41	1711.011343	0.437446066	138.73	164.108796
195	180	15	10.43	1351.76	14093.89	1194.87	12458.04	1635.85	1958.468023	0.500712129	156.89	187.8314321
210	192	16	10.43	1345.04	14023.75	1184.5	12349.98	1673.77	2028.057761	0.518503804	160.54	194.5215848
225	204	17	10.43	1328.21	13848.31	1302.32	13578.39	269.92	331.0023976	0.084625796	25.89	31.74885919
240	216	18	10.43	1316.21	13723.15	1265.29	13192.23	530.92	658.9260751	0.16846447	50.92	63.19693314
255	228	19	10.43	1305.33	13609.8	1221.78	12738.64	871.16	1094.251292	0.279761981	83.55	104.9459289
270	240	20	10.43	1324	13804.41	1246.98	13001.32	803.09	1020.92748	0.261015634	77.02	97.91160956
285	252	21	10.43	1309.12	13649.26	1228.69	12810.63	838.63	1078.978035	0.275857141	80.43	103.4809193
300	264	22	10.43	1366.32	14245.63	1223.46	12756.13	1489.5	1939.519948	0.495867766	142.86	186.0220341
315	276	23	10.43	1306.04	13617.16	1257.84	13114.59	502.57	662.310801	0.169329827	48.2	63.52026705
330	288	24	10.43	1317.02	13731.59	1248.33	13015.41	716.18	955.2103061	0.244214039	68.69	91.61578922
345	300	25	10.43	1337.11	13941.11	1264.99	13189.17	751.94	1015.012832	0.259503464	72.12	97.3518172
360	312	26	10.43	1366.74	14250.02	1256.18	13097.31	1152.71	1574.780176	0.402616497	110.56	151.0420629
375	324	27	10.43	1392.49	14518.48	1281.4	13360.21	1158.27	1601.478896	0.409442431	111.09	153.5982893
390	336	28	10.43	1270.39	13245.48	1209.02	12605.55	639.93	895.4790221	0.228942828	61.37	85.87743595
405	348	29	10.43	1341.96	13991.65	1251.75	13051.13	940.52	1331.994756	0.340544713	90.21	127.7583112
420	360	30	10.43	1360.38	14183.76	1230.6	12830.62	1353.14	1939.495364	0.49586148	129.78	186.0174914
435	372	31	10.43	1329.27	13859.34	1222.17	12742.65	1116.69	1619.907344	0.414153944	107.1	155.3627923
450	384	32	10.43	1383.26	14422.23	1276.74	13311.66	1110.57	1630.478283	0.416856565	106.52	156.3868524
