time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	12	1	8.62	1155.4	10105.18	1087.63	9371.9	733.28	742.132368	0.13800922	67.77	68.58813902
0	24	2	8.62	1738.93	15208.72	1155.75	9958.83	5249.89	5377.411497	1	583.18	597.3456276
15	36	3	8.62	1598.14	13977.34	1168.46	10068.35	3908.99	4052.277337	0.753573971	429.68	445.4302841
30	48	4	8.62	1518.82	13283.61	1242.84	10709.22	2574.39	2700.974443	0.502281524	275.98	289.5501175
45	60	5	8.62	1434.42	12545.5	1176.65	10138.96	2406.54	2555.352123	0.475201149	257.77	273.7096066
60	72	6	8.62	1469.48	12852.08	1178.45	10154.47	2697.61	2899.001003	0.539107153	291.03	312.7569448
75	84	7	8.62	1437.93	12576.17	1184.42	10205.91	2370.26	2577.963262	0.479405986	253.51	275.7248009
90	96	8	8.62	1454.44	12532.61	1186.88	10227.11	2305.5	2537.800022	0.471937106	267.56	294.5190952
105	108	9	8.62	1448.24	12479.19	1149.18	9902.26	2576.93	2870.823057	0.533867095	299.06	333.1671187
120	120	10	8.62	1363.42	11748.32	1146.61	9880.03	1868.29	2106.491093	0.39172957	216.81	244.4525924
135	132	11	8.62	1393.59	12008.2	1200.14	10341.37	1666.83	1902.03358	0.353708021	193.45	220.7474044
150	144	12	8.62	1399.56	12059.68	1152.28	9928.93	2130.75	2460.769314	0.457612239	247.28	285.5797424
165	156	13	8.62	1403.05	12089.71	1193.97	10288.2	1801.51	2105.652093	0.391573547	209.08	244.3781825
180	168	14	8.62	1396.14	12030.21	1146.21	9876.67	2153.54	2547.501308	0.473741188	249.93	295.6513471
195	180	15	8.62	1431.44	12334.43	1145.55	9870.94	2463.49	2949.333002	0.548467047	285.89	342.2724719
210	192	16	8.62	1366.08	11771.15	1128.77	9726.35	2044.8	2477.623873	0.460746564	237.31	287.5415304
225	204	17	8.62	1350.44	11636.43	1171.19	10091.91	1544.52	1894.042024	0.352221887	179.25	219.813944
240	216	18	8.62	1428.03	12304.96	1134.13	9772.53	2532.43	3143.004898	0.584482869	293.9	364.7599892
255	228	19	8.62	1351.97	11649.61	1143.93	9857.02	1792.59	2251.645994	0.418723022	208.04	261.3159911
270	240	20	8.62	1313.85	11321.1	1132.17	9755.65	1565.45	1990.076982	0.370080843	181.68	230.9605456
285	252	21	8.62	1363.61	11749.87	1138.92	9813.85	1936.02	2490.87566	0.463210908	224.69	289.0852636
300	264	22	8.62	1321.04	11383.05	1169.37	10076.19	1306.86	1701.699255	0.316453233	151.67	197.4937835
315	276	23	8.62	1310.44	11291.8	1116.86	9623.72	1668.08	2198.275665	0.408798112	193.58	255.1089895
330	288	24	8.62	1347.56	11611.61	1144.85	9864.91	1746.7	2329.673883	0.433233329	202.71	270.3659431
345	300	25	8.62	1359.13	11711.31	1145.25	9868.35	1842.96	2487.735788	0.462627007	213.88	288.7078018
360	312	26	8.62	1335.67	11509.2	1159.31	9989.46	1519.74	2076.199933	0.386096533	176.36	240.9350417
375	324	27	8.62	1378.47	11877.96	1171.93	10098.25	1779.71	2460.711239	0.457601439	206.54	285.5719748
390	336	28	8.62	1340.47	11550.52	1136.62	9793.95	1756.57	2458.036951	0.45710412	203.85	285.2552602
405	348	29	8.62	1364.05	11753.7	1193.36	10282.91	1470.79	2082.980231	0.387357418	170.69	241.7366827
420	360	30	8.62	1328.81	11450.05	1169.99	10081.57	1368.48	1961.482637	0.364763351	158.82	227.6413776
435	372	31	8.62	1366.39	11773.86	1149.56	9905.49	1868.37	2710.319143	0.504019293	216.83	314.5407493
450	384	32	8.62	1280.26	11031.66	1207.18	10402.03	629.63	924.3884144	0.171902116	73.08	107.2920689
