time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	11.63	1047.55	12185.79	1075.44	12510.21	-324.42	-327.6804752	-0.069404144	-27.89	-28.17029916
0	20	2	11.63	1544.55	17967.21	1146.72	13339.36	4627.85	4721.338771	1	397.83	405.8666991
15	30	3	11.63	1385.72	16119.56	1084.87	12619.86	3499.7	3606.281732	0.76382609	300.85	310.0122465
30	40	4	11.63	1345.41	15650.63	1102.24	12822.01	2828.62	2944.058172	0.623564272	243.17	253.093956
45	50	5	11.63	1335.69	15537.58	1080.97	12574.49	2963.09	3115.010873	0.659772794	254.72	267.7797737
60	60	6	11.63	1275.9	14842.12	1066.39	12404.91	2437.21	2587.91865	0.548132378	209.51	222.4653749
75	70	7	11.63	1244.67	14478.75	1125.91	13097.36	1381.39	1481.552077	0.313799146	118.76	127.3710716
90	80	8	11.63	1230.42	14313.01	1052.95	12248.61	2064.4	2236.337823	0.473666036	177.47	192.2509559
105	90	9	11.63	1202.19	13984.58	1107.39	12881.89	1102.69	1206.535041	0.255549347	94.8	103.7277221
120	100	10	11.63	1210.35	14079.58	1039.64	12093.81	1985.77	2194.615254	0.464829016	170.71	188.6637274
135	110	11	11.63	1173.7	13653.18	1107.12	12878.75	774.43	864.4792261	0.183100444	66.58	74.32179393
150	120	12	11.63	1173.03	13645.43	1068.9	12434.12	1211.31	1365.748211	0.289271386	104.13	117.4062472
165	130	13	11.63	1145.87	13329.54	1083.55	12604.56	724.98	825.6278013	0.174871544	62.32	70.97178485
180	140	14	11.63	1114.67	12966.6	1093.67	12722.31	244.29	281.0003863	0.059517099	21	24.15574978
195	150	15	11.63	1170.15	13611.95	1093.46	12719.86	892.09	1036.46071	0.219526867	76.69	89.10106807
210	160	16	11.63	1148.41	13359.05	1052.37	12241.88	1117.17	1311.01114	0.277677837	96.04	112.7039841
225	170	17	11.63	1130.05	13145.44	1061.32	12345.97	799.47	947.6156695	0.200709103	68.73	81.46600243
240	180	18	11.63	1098.65	12780.17	1075.55	12511.46	268.71	321.7042776	0.068138359	23.1	27.65572109
255	190	19	11.63	1085.36	12625.59	1088.69	12664.32	-38.73	-46.83423692	-0.009919694	-3.33	-4.02680116
270	200	20	11.63	1153.89	13422.77	1089.29	12671.34	751.43	917.7986746	0.194393734	64.6	78.90261818
285	210	21	11.63	1108.37	12893.23	1099.8	12793.62	99.61	122.8866716	0.026027929	8.57	10.57262097
300	220	22	11.63	1100.17	12797.84	1127.43	13114.94	-317.1	-395.1309313	-0.083690443	-27.26	-33.96805168
315	230	23	11.63	1087.35	12648.77	1114.56	12965.26	-316.49	-398.3343171	-0.084368934	-27.21	-34.24650627
330	240	24	11.63	1117.91	13004.21	1111.69	12931.83	72.38	92.0130135	0.019488755	6.22	7.907169715
345	250	25	11.63	1064.08	12378.03	1119.86	13026.91	-648.88	-833.1784124	-0.176470796	-55.78	-71.62293774
360	260	26	11.63	1084.69	12617.79	1059.53	12325.08	292.71	379.6244057	0.080406093	25.16	32.63076098
375	270	27	11.63	1087.69	12652.73	1061.58	12348.99	303.74	397.8886023	0.084274529	26.11	34.20317181
390	280	28	11.63	1098.64	12780.04	1100.23	12798.57	-18.53	-24.51759542	-0.005192933	-1.59	-2.103776402
405	290	29	11.63	1084.22	12612.32	1056.83	12293.76	318.56	425.7323406	0.090171954	27.39	36.6047489
420	300	30	11.63	1077.55	12534.77	1102.28	12822.4	-287.63	-388.2598888	-0.082235126	-24.73	-33.38200831
435	310	31	11.63	1091.1	12692.37	1104.68	12850.36	-157.99	-215.4075338	-0.045624249	-13.58	-18.51531305
450	320	32	11.63	1106.51	12871.64	1088.04	12656.82	214.82	295.8345863	0.062659047	18.47	25.43554981
