time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	8.06	918.08	7396.68	822.4	6625.82	770.86	778.6072718	0.206075923	95.68	96.64159999
0	20	2	8.06	1327.77	10697.41	868.1	6993.97	3703.44	3778.254451	1	459.67	468.95595
15	30	3	8.06	1342.1	10812.84	865.31	6971.52	3841.32	3958.30561	1.047654588	476.79	491.3104172
30	40	4	8.06	1247.41	10049.95	842.24	6785.62	3264.33	3397.549835	0.899237963	405.17	421.7053014
45	50	5	8.06	1268.32	10218.45	870.56	7013.83	3204.62	3368.924381	0.891661593	397.76	418.1535913
60	60	6	8.06	1189.9	9586.67	851.47	6860.02	2726.65	2895.25662	0.766294768	338.43	359.3573424
75	70	7	8.06	1208.48	9736.34	874.44	7045.11	2691.23	2886.366193	0.763941717	334.04	358.2606329
90	80	8	8.06	1147.52	9245.23	818.22	6592.17	2653.06	2874.025588	0.760675499	329.3	356.7264314
105	90	9	8.06	1194.4	9622.9	858.32	6915.17	2707.73	2962.728533	0.784152728	336.08	367.7300933
120	100	10	8.06	1164.14	9379.09	847.41	6827.32	2551.77	2820.141994	0.746413994	316.73	350.0407849
135	110	11	8.06	1127.29	9082.2	820.25	6608.5	2473.7	2761.337063	0.730849946	307.04	342.7420188
150	120	12	8.06	1150.59	9269.92	895.88	7217.79	2052.13	2313.770114	0.612391289	254.71	287.1847231
165	130	13	8.06	1071.93	8636.15	850.1	6848.95	1787.2	2035.314087	0.53869164	221.83	252.6263003
180	140	14	8.06	1157.07	9322.14	897.09	7227.53	2094.61	2409.375002	0.637695273	259.98	299.0481822
195	150	15	8.06	1033.14	8323.67	802.44	6465.03	1858.64	2159.431597	0.57154213	230.7	268.0351598
210	160	16	8.06	1104.43	8898.02	889.97	7170.23	1727.79	2027.580348	0.536644732	214.46	251.6711414
225	170	17	8.06	1063.9	8571.49	810.84	6532.67	2038.82	2416.623237	0.639613681	253.06	299.9532457
240	180	18	8.06	1116.41	8994.57	841.82	6782.3	2212.27	2648.568056	0.701003093	274.59	328.7439157
255	190	19	8.06	1114.53	8979.45	842.28	6785.96	2193.49	2652.4769	0.702037656	272.25	329.218203
270	200	20	8.06	1100.49	8866.31	830.24	6688.94	2177.37	2659.445724	0.703882112	270.25	330.0840954
285	210	21	8.06	1137.45	9164.06	824.78	6644.99	2519.07	3107.72139	0.822528348	312.67	385.734119
300	220	22	8.06	1068.64	8609.7	867.83	6991.86	1617.84	2015.952778	0.533567234	200.81	250.2246683
315	230	23	8.06	1075.6	8665.8	827.4	6666.1	1999.7	2516.82244	0.666133653	248.2	312.3845225
330	240	24	8.06	1047.57	8439.91	833.33	6713.88	1726.03	2194.214171	0.58074812	214.24	272.352418
345	250	25	8.06	1071.2	8630.3	864.77	6967.17	1663.13	2135.501191	0.56520841	206.43	265.0613668
360	260	26	8.06	1067.75	8602.51	879.6	7086.64	1515.87	1965.97741	0.52034013	188.15	244.0173958
375	270	27	8.06	1085.52	8745.72	811.03	6534.22	2211.5	2896.986383	0.766752589	274.49	359.5721421
390	280	28	8.06	1084.61	8738.39	804.41	6480.89	2257.5	2986.965551	0.790567599	280.2	370.7409734
405	290	29	8.06	1065.94	8587.9	804.43	6481.06	2106.84	2815.638889	0.745222146	261.51	349.4891524
420	300	30	8.06	1072.05	8637.19	840.51	6771.7	1865.49	2518.148107	0.666484521	231.54	312.5463083
435	310	31	8.06	1062.43	8559.64	861.24	6938.69	1620.95	2210.043939	0.584937824	201.19	274.3074987
450	320	32	8.06	1039.3	8373.3	884.83	7128.82	1244.48	1713.80796	0.453597814	154.47	212.7249258
