sample	total_reads	exp_reads	spike_reads	NF
LacZKD_DMSO_rep1	6031108	6025855	5253	0.166
LacZKD_DMSO_rep2	6812291	6809788	2503	0.1468
LacZKD_FP_05min_rep1	7289838	7283118	6720	0.1088
LacZKD_FP_05min_rep2	7593499	7589628	3871	0.0983
LacZKD_FP_10min_rep1	11256006	11247123	8883	0.0764
LacZKD_FP_10min_rep2	6133610	6131219	2391	0.1301
LacZKD_FP_20min_rep1	8372596	8363618	8978	0.0894
LacZKD_FP_20min_rep2	7425064	7421684	3380	0.0996
NELFeKD_DMSO_rep1	8590739	8578013	12726	0.0685
NELFeKD_DMSO_rep2	7195173	7190785	4388	0.0838
NELFeKD_FP_05min_rep1	4430681	4422333	8348	0.1056
NELFeKD_FP_05min_rep2	3503597	3500915	2682	0.1363
NELFeKD_FP_10min_rep1	6645826	6635603	10223	0.0689
NELFeKD_FP_10min_rep2	6314310	6310459	3851	0.0732
NELFeKD_FP_20min_rep1	2502093	2497218	4875	0.1878
NELFeKD_FP_20min_rep2	5164988	5161456	3532	0.0897
